"","Country","kmeans","Pam","Clara"
"1","Angola",2,1,1
"2","Argentina",2,1,1
"3","Aruba",9,2,2
"4","Australia",2,1,1
"5","Bahamas",9,2,2
"6","Bangladesh",4,3,3
"7","Barbados",2,1,1
"8","Belize",8,4,4
"9","Bhutan",4,3,3
"10","Brazil",2,1,1
"11","Cambodia",2,1,1
"12","China",2,1,1
"13","Colombia",7,5,5
"14","Comoros",2,1,1
"15","Cook_Islands",5,6,6
"16","Costa_Rica",8,4,4
"17","Cote_dIvoire",2,1,1
"18","Djibouti",6,7,7
"19","Dominica",3,8,8
"20","East_Timor",2,1,1
"21","Easter_Island",5,6,6
"22","Ecuador",7,5,5
"23","El_Salvador",2,1,1
"24","Eritrea",6,7,7
"25","Fiji",5,6,6
"26","French_Guiana",9,2,2
"27","French_Polynesia",5,6,6
"28","Grenada",9,2,2
"29","Guyana",7,5,5
"30","Haiti",3,8,8
"31","Honduras",8,4,4
"32","India",4,3,3
"33","Indonesia",2,1,1
"34","Jamaica",2,1,1
"35","Japan",2,1,1
"36","Kiribati",5,6,6
"37","Laos",2,1,1
"38","Madagascar",10,1,1
"39","Malaysia",2,1,1
"40","Maldives",4,3,3
"41","Marshall_Islands",1,9,9
"42","Martinique",3,8,8
"43","Mexico",8,4,4
"44","Micronesia",1,9,9
"45","Myanmar",2,1,1
"46","NA",2,1,1
"47","Nauru_Island",1,10,10
"48","Nepal",2,1,1
"49","New_Caledonia",5,6,6
"50","Nicaragua",8,4,4
"51","Nigeria",2,1,1
"52","Niue",5,6,6
"53","Pakistan",2,1,1
"54","Palau",1,10,10
"55","Papua_New_Guinea",1,9,9
"56","Paraguay",2,1,1
"57","Peru",2,1,1
"58","Philippines",1,10,10
"59","Puerto_Rico",3,8,8
"60","Reunion",10,1,1
"61","Saint_Barthelemy",8,4,4
"62","Samoa",1,10,10
"63","Saudi_Arabia",6,7,7
"64","Seychelles",10,1,1
"65","Singapore",2,1,1
"66","Solomon_Islands",1,9,9
"67","Somalia",6,7,7
"68","Sri_Lanka",2,1,1
"69","Suriname",9,2,2
"70","Thailand",2,1,1
"71","Tonga",5,6,6
"72","Trinidad_and_Tobago",9,2,2
"73","USA",8,4,4
"74","USA.Hawaii",5,6,6
"75","Vanuatu",5,6,6
"76","Venezuela",7,5,5
"77","Vietnam",2,1,1
"78","Virgin_Islands",2,1,1
"79","Wallis_and_Futuna",5,6,6
