state	meanRate
2.0E7	6.7387112189152E-4
2.002E7	0.0010509649307579192
2.004E7	7.639279531847163E-4
2.006E7	9.615100033959213E-4
2.008E7	8.025033271214527E-4
2.01E7	9.141363307682053E-4
2.012E7	8.202261188368736E-4
2.014E7	8.500035237562973E-4
2.016E7	9.108649540003301E-4
2.018E7	0.0010883014076605421
2.02E7	0.0011128502247193374
2.022E7	8.681796544925689E-4
2.024E7	8.995866357815256E-4
2.026E7	8.641047188961674E-4
2.028E7	7.780578250869656E-4
2.03E7	7.996331591160413E-4
2.032E7	8.165327991414218E-4
2.034E7	9.155563500691036E-4
2.036E7	0.0010221976019050504
2.038E7	8.41733132916469E-4
2.04E7	0.001035590546611574
2.042E7	8.719971442491059E-4
2.044E7	9.758424738179796E-4
2.046E7	6.925165945532046E-4
2.048E7	6.895610917214677E-4
2.05E7	8.271542747406528E-4
2.052E7	9.45444423465701E-4
2.054E7	0.0011041056435500273
2.056E7	9.795004028646736E-4
2.058E7	9.89417882856049E-4
2.06E7	9.08323510322106E-4
2.062E7	7.030832602465079E-4
2.064E7	7.149103554632381E-4
2.066E7	8.300598323730231E-4
2.068E7	0.0011208872242279729
2.07E7	7.247613184108568E-4
2.072E7	9.374734453908502E-4
2.074E7	8.716024857239582E-4
2.076E7	0.0010407540735498065
2.078E7	8.399374933840244E-4
2.08E7	9.160231928518665E-4
2.082E7	9.151292040399184E-4
2.084E7	9.411728397447978E-4
2.086E7	6.265147754547182E-4
2.088E7	7.678294975499999E-4
2.09E7	8.18728816028649E-4
2.092E7	9.412453718025219E-4
2.094E7	9.445190100020609E-4
2.096E7	8.547263891104971E-4
2.098E7	0.001159698146242387
2.1E7	9.878331332441787E-4
2.102E7	7.358472477786505E-4
2.104E7	8.49960865431521E-4
2.106E7	0.0010416055474489834
2.108E7	7.847922491117649E-4
2.11E7	7.977831740071794E-4
2.112E7	8.240334192288129E-4
2.114E7	8.465293181620551E-4
2.116E7	8.740475735834556E-4
2.118E7	6.496142108182992E-4
2.12E7	6.644916211118648E-4
2.122E7	6.995458527938349E-4
2.124E7	6.292820762358561E-4
2.126E7	5.420992486030962E-4
2.128E7	6.264299278014363E-4
2.13E7	5.705841798098796E-4
2.132E7	6.742254385318828E-4
2.134E7	6.531521730555771E-4
2.136E7	8.549239811898676E-4
2.138E7	0.0010265810549122821
2.14E7	8.146603201855545E-4
2.142E7	8.888495254235326E-4
2.144E7	9.350414193540739E-4
2.146E7	8.659265952091786E-4
2.148E7	8.593883689213266E-4
2.15E7	8.506306495270672E-4
2.152E7	0.001008356695874966
2.154E7	0.0011972046930948978
2.156E7	9.853426343531695E-4
2.158E7	0.001155993238100651
2.16E7	0.001102907807779207
2.162E7	9.93101599514892E-4
2.164E7	0.001076515615583062
2.166E7	0.0010106482791873731
2.168E7	9.124915453302432E-4
2.17E7	7.037002862197744E-4
2.172E7	7.333819650366337E-4
2.174E7	6.134418290492081E-4
2.176E7	5.794378368980273E-4
2.178E7	6.432049354360094E-4
2.18E7	9.303029560369414E-4
2.182E7	8.799603865518703E-4
2.184E7	8.048635610225853E-4
2.186E7	6.459317831729792E-4
2.188E7	7.426715264364929E-4
2.19E7	8.706603505330002E-4
2.192E7	0.0012687753410834137
2.194E7	9.217458081032287E-4
2.196E7	6.739296073723585E-4
2.198E7	7.362915675479899E-4
2.2E7	8.457382505468984E-4
2.202E7	0.001304637130267247
2.204E7	6.635281564192294E-4
2.206E7	9.257694260847187E-4
2.208E7	0.0011214677549301318
2.21E7	8.683836335440913E-4
2.212E7	9.169632361822666E-4
2.214E7	9.872796316335005E-4
2.216E7	8.14273432111605E-4
2.218E7	9.993838709151028E-4
2.22E7	6.881701869567788E-4
2.222E7	7.58494299316609E-4
2.224E7	6.804366124871479E-4
2.226E7	7.073132018144117E-4
2.228E7	7.73278615954991E-4
2.23E7	6.544933682708395E-4
2.232E7	6.372140000094563E-4
2.234E7	8.702326399772014E-4
2.236E7	8.955556594277174E-4
2.238E7	0.0010663110049127943
