state	meanRate
2.0E7	9.316446405663359E-5
2.002E7	1.3490262074099534E-4
2.004E7	9.731445366416293E-5
2.006E7	1.838011587863934E-4
2.008E7	1.4629390464414684E-4
2.01E7	1.1721899953497717E-4
2.012E7	7.384819902020639E-5
2.014E7	7.72437492624506E-5
2.016E7	4.85783129163479E-5
2.018E7	4.694260963151585E-5
2.02E7	7.727216738675114E-5
2.022E7	1.1574794632892875E-4
2.024E7	2.365665381722938E-4
2.026E7	3.266766026176106E-4
2.028E7	2.5445114179362555E-4
2.03E7	3.4541319610142794E-4
2.032E7	4.5956129803575085E-4
2.034E7	2.2811971464834475E-4
2.036E7	4.185685111383468E-4
2.038E7	2.3437434584201277E-4
2.04E7	2.8562552650443165E-4
2.042E7	3.061050675111492E-4
2.044E7	3.541567316689475E-4
2.046E7	2.368690949900427E-4
2.048E7	1.5668647151432033E-4
2.05E7	1.6373758179669538E-4
2.052E7	1.5964243377122818E-4
2.054E7	1.4027227625280128E-4
2.056E7	4.298817232949048E-5
2.058E7	8.874232547544599E-5
2.06E7	1.324484713163232E-4
2.062E7	1.1365924675967509E-4
2.064E7	1.7177336164288272E-4
2.066E7	1.355187758960312E-4
2.068E7	1.6302460701967856E-4
2.07E7	1.960191693304457E-4
2.072E7	1.896523720233144E-4
2.074E7	1.467516283203176E-4
2.076E7	9.37787414600858E-5
2.078E7	2.1073170883068506E-4
2.08E7	1.5010623640514896E-4
2.082E7	2.0000910054343864E-4
2.084E7	1.9100346826831754E-4
2.086E7	1.0252504922332435E-4
2.088E7	9.626805915864355E-5
2.09E7	1.3631217853174E-4
2.092E7	1.2636878924290605E-4
2.094E7	2.5152089250583956E-4
2.096E7	2.3321883004990984E-4
2.098E7	2.2257087922407354E-4
2.1E7	2.6439502337624517E-4
2.102E7	1.2742894000374253E-4
2.104E7	1.5584038828015366E-4
2.106E7	2.010055173177862E-4
2.108E7	1.4540161039228644E-4
2.11E7	2.1830733118347642E-4
2.112E7	7.135900171287825E-4
2.114E7	3.894734160962128E-4
2.116E7	3.7180432074484496E-4
2.118E7	3.354650920872937E-4
2.12E7	2.131427538041941E-4
2.122E7	3.717974458120726E-4
2.124E7	3.880347947513238E-4
2.126E7	3.0439892636406575E-4
2.128E7	2.6809210532313687E-4
2.13E7	2.082934227878416E-4
2.132E7	1.2440207246691565E-4
2.134E7	1.6943449797923797E-4
2.136E7	2.092980791977126E-4
2.138E7	1.4443756416508113E-4
2.14E7	1.8462709357472266E-4
2.142E7	1.9154730565640982E-4
2.144E7	1.922282429540555E-4
2.146E7	1.863123877044474E-4
2.148E7	2.858738152540545E-4
2.15E7	2.0567748323419737E-4
2.152E7	2.1048118050165382E-4
2.154E7	2.1669074370173012E-4
2.156E7	3.156451488298082E-4
2.158E7	2.318542013585388E-4
2.16E7	1.6181138884619034E-4
2.162E7	1.9407854767553817E-4
2.164E7	2.671546022907787E-4
2.166E7	1.8580601805596715E-4
2.168E7	2.4167576093973086E-4
2.17E7	2.9331462374090813E-4
2.172E7	1.1027113309447355E-4
2.174E7	1.2374196071676335E-4
2.176E7	1.8776293030224353E-4
2.178E7	1.985979622027473E-4
2.18E7	1.3953813901560047E-4
2.182E7	1.3488374772744187E-4
2.184E7	1.3224565433542454E-4
2.186E7	1.6608196534965503E-4
2.188E7	1.7945823745939136E-4
2.19E7	1.477465489227204E-4
2.192E7	3.9940796065363634E-4
2.194E7	5.304927813542989E-4
2.196E7	3.9802992934812287E-4
2.198E7	4.311974033609563E-4
2.2E7	2.768476584287798E-4
2.202E7	5.083910526599351E-4
2.204E7	5.815671031926962E-4
2.206E7	1.0673082831708741E-4
2.208E7	3.487597888529952E-4
2.21E7	2.3180330777408106E-4
2.212E7	1.5606622817251623E-4
2.214E7	1.9725810568466324E-4
2.216E7	3.4180502150581003E-4
2.218E7	1.6119895158339038E-4
2.22E7	9.065515294256838E-5
2.222E7	2.0474738941967882E-4
2.224E7	2.7786275133013675E-4
2.226E7	2.9739768988201694E-4
2.228E7	1.5388754085531007E-4
2.23E7	2.549044039754357E-4
2.232E7	2.511020482924685E-4
2.234E7	2.3776060544016691E-4
2.236E7	1.6331408078865386E-4
2.238E7	1.1548403123517037E-4
2.24E7	2.0673944605931522E-4
2.242E7	2.3955801475325888E-4
2.244E7	3.2806543140373576E-4
2.246E7	4.391947312460298E-4
2.248E7	2.9410120142295287E-4
2.25E7	3.42457918761097E-4
2.252E7	3.753067103687801E-4
2.254E7	3.5277899682949047E-4
2.256E7	2.5790451815488016E-4
2.258E7	3.148999035629698E-4
2.26E7	4.2750604269649605E-4
2.262E7	5.372890144988189E-4
2.264E7	4.5602009754317657E-4
2.266E7	2.4793833178278306E-4
2.268E7	3.0781533036041846E-4
2.27E7	2.757207546167652E-4
2.272E7	3.7590725126144045E-4
2.274E7	5.238741927464388E-4
2.276E7	6.725885404437168E-4
2.278E7	2.7905552426651047E-4
2.28E7	3.895728556535852E-4
2.282E7	1.400971363105698E-4
2.284E7	2.9477453456322293E-4
2.286E7	5.287486753519512E-4
2.288E7	3.287227685851794E-4
2.29E7	2.4217713852701928E-4
2.292E7	2.677860375784102E-4
2.294E7	1.893917792046195E-4
2.296E7	2.626049351429374E-4
2.298E7	2.6964259574448657E-4
2.3E7	1.8998003690047293E-4
2.302E7	2.6275004142266225E-4
2.304E7	3.0327418474734077E-4
2.306E7	3.655642950221814E-4
2.308E7	2.3949584125698806E-4
2.31E7	2.61534964754301E-4
2.312E7	1.5960147846632157E-4
2.314E7	2.749267777091642E-4
2.316E7	2.4543960336374164E-4
2.318E7	3.8811198391613575E-4
2.32E7	2.798903272241209E-4
2.322E7	4.187220950490677E-4
2.324E7	4.755180313044595E-4
2.326E7	2.4080221902375603E-4
2.328E7	1.0725843908263053E-4
2.33E7	7.673794499162402E-5
2.332E7	1.5959444135171412E-4
2.334E7	1.755966368567699E-4
2.336E7	7.64653851536061E-5
2.338E7	1.5524912157620832E-4
2.34E7	1.686282795226061E-4
2.342E7	1.1935800977710932E-4
2.344E7	1.7437954397793922E-4
2.346E7	1.6313190121818662E-4
2.348E7	1.853279508894921E-4
2.35E7	2.2684462475432038E-4
2.352E7	2.894442657063443E-4
2.354E7	3.439399677404311E-4
2.356E7	4.6075452894118503E-4
2.358E7	4.914647368631068E-4
2.36E7	3.546362101719351E-4
2.362E7	5.500205810612131E-4
2.364E7	2.89461943169224E-4
2.366E7	5.016436252235682E-4
2.368E7	3.4562648657720857E-4
2.37E7	1.8595798740636888E-4
2.372E7	3.432962946836346E-4
2.374E7	2.233877622699723E-4
2.376E7	3.041857187701881E-4
2.378E7	3.229625669894799E-4
2.38E7	2.8571960627688214E-4
2.382E7	3.599708777846587E-4
2.384E7	2.5574912671477457E-4
2.386E7	3.127872909110659E-4
2.388E7	2.582972239901286E-4
2.39E7	2.2927544664926217E-4
2.392E7	3.025004729607904E-4
2.394E7	2.659054424631185E-4
2.396E7	1.927606500143243E-4
2.398E7	2.435607090608422E-4
2.4E7	2.381670220439164E-4
2.402E7	2.0980271241924456E-4
2.404E7	2.51179553462218E-4
2.406E7	2.4432422939386884E-4
2.408E7	1.9402392914690225E-4
2.41E7	2.0112611716794056E-4
2.412E7	1.703278745773875E-4
2.414E7	1.502497580732578E-4
2.416E7	1.6914190410977295E-4
2.418E7	2.2625413640644843E-4
2.42E7	1.3279322711047471E-4
2.422E7	1.8851644377366984E-4
2.424E7	3.410211589817614E-4
2.426E7	1.4058022412945118E-4
2.428E7	1.364457127390458E-4
2.43E7	1.1267847191479607E-4
2.432E7	1.167216770994112E-4
2.434E7	2.2560460386150005E-4
2.436E7	3.620473866044615E-4
2.438E7	2.2648459107385934E-4
2.44E7	2.038432639781224E-4
2.442E7	3.5508213490668684E-4
2.444E7	4.099552168940935E-4
2.446E7	5.31889747435141E-4
2.448E7	4.0429156895677675E-4
2.45E7	2.6303030755813736E-4
2.452E7	3.141067029618043E-4
2.454E7	3.438204601201343E-4
2.456E7	2.8034359115810875E-4
2.458E7	3.275003849972526E-4
2.46E7	3.877784133207669E-4
2.462E7	4.3832003629354165E-4
2.464E7	2.482464499082485E-4
2.466E7	2.5921347901145827E-4
2.468E7	2.1561962899582828E-4
2.47E7	3.2459855664622824E-4
2.472E7	4.212351328226208E-4
2.474E7	5.211103094232505E-4
2.476E7	3.183963826007322E-4
2.478E7	4.8420438574356655E-4
2.48E7	3.825901011543091E-4
2.482E7	3.316281645697346E-4
2.484E7	4.956075026822285E-4
2.486E7	3.98012841205524E-4
2.488E7	2.3273486727429436E-4
2.49E7	3.6837626759145394E-4
2.492E7	3.0996697995896777E-4
2.494E7	3.709253825040119E-4
2.496E7	3.1376308346522263E-4
2.498E7	2.7485836657449955E-4
2.5E7	1.5893339874269952E-4
2.502E7	3.327626497589097E-4
2.504E7	3.9150540244460585E-4
2.506E7	2.0576985783727974E-4
2.508E7	3.8088896006218585E-4
2.51E7	3.355100856780266E-4
2.512E7	2.7486760570160566E-4
2.514E7	3.704406260799914E-4
2.516E7	2.371832056613254E-4
2.518E7	3.288781075279057E-4
2.52E7	2.31336747758747E-4
2.522E7	3.356903694234724E-4
2.524E7	2.3165277762568614E-4
2.526E7	1.4750965486478776E-4
2.528E7	2.5607998269026454E-4
2.53E7	3.4188343738456343E-4
2.532E7	2.781471291692357E-4
2.534E7	3.350491097661044E-4
2.536E7	3.2228892256137555E-4
2.538E7	5.070718996590981E-4
2.54E7	5.493294914222442E-4
2.542E7	6.023104906842356E-4
2.544E7	4.5306982732226393E-4
2.546E7	6.072832435324705E-4
2.548E7	5.828918109626589E-4
2.55E7	7.648909342471002E-4
2.552E7	4.71445335172089E-4
2.554E7	3.8619404683211053E-4
2.556E7	6.353055261757333E-4
2.558E7	4.282210213612998E-4
2.56E7	3.5417489159979574E-4
2.562E7	3.090140722905538E-4
2.564E7	2.802434327070087E-4
2.566E7	2.5149038494068636E-4
2.568E7	1.5388595338142072E-4
2.57E7	2.546347892973427E-4
2.572E7	2.2854463553244195E-4
2.574E7	2.69309438341882E-4
2.576E7	2.4368076342758338E-4
2.578E7	1.902504314181049E-4
2.58E7	1.6331981630621773E-4
2.582E7	2.0295779090525923E-4
2.584E7	1.738968243836936E-4
2.586E7	2.2837550097266817E-4
2.588E7	1.367898638381543E-4
2.59E7	2.0530691641122486E-4
2.592E7	2.2412736496320548E-4
2.594E7	3.912791009185435E-4
2.596E7	2.8202704270878666E-4
2.598E7	2.906617982553823E-4
2.6E7	2.5419091101464047E-4
2.602E7	2.809374768870541E-4
2.604E7	3.3239548780188144E-4
2.606E7	3.329461877811309E-4
2.608E7	3.4758134529266015E-4
2.61E7	5.512808221753579E-4
2.612E7	5.581461411839398E-4
2.614E7	7.03101040279523E-4
2.616E7	7.583639945665675E-4
2.618E7	5.730676742829036E-4
2.62E7	6.464674545090981E-4
2.622E7	5.7901296639774E-4
2.624E7	4.904278417966961E-4
2.626E7	4.7873620624974553E-4
2.628E7	6.057452691823606E-4
2.63E7	4.661784123527058E-4
2.632E7	3.350471638188939E-4
2.634E7	4.4478540686244624E-4
2.636E7	4.5220714935648225E-4
2.638E7	4.217619171192137E-4
2.64E7	3.4055685025532074E-4
2.642E7	2.9700659368876525E-4
2.644E7	1.5272616850753816E-4
2.646E7	3.1670199839269346E-4
2.648E7	4.6985711151684725E-4
2.65E7	4.734679857358247E-4
2.652E7	3.878532889410672E-4
2.654E7	2.228324962428439E-4
2.656E7	1.8692705741617152E-4
2.658E7	1.86323866895183E-4
2.66E7	1.6298525047483048E-4
2.662E7	1.3669393405277115E-4
2.664E7	2.0793701929066745E-4
2.666E7	2.84723235956802E-4
2.668E7	3.515349522233712E-4
2.67E7	3.166866614422418E-4
2.672E7	2.6759808768382073E-4
2.674E7	1.7089548591314217E-4
2.676E7	1.2721318919312074E-4
2.678E7	6.827595188750346E-5
2.68E7	1.7132213770897642E-4
2.682E7	1.3042136941276286E-4
2.684E7	2.1047761941864272E-4
2.686E7	2.1411389335813377E-4
2.688E7	3.65536267867958E-4
2.69E7	3.5792637945238445E-4
2.692E7	1.9704233338360756E-4
2.694E7	3.928906514975918E-4
2.696E7	3.9168923423939093E-4
2.698E7	2.145525633838198E-4
2.7E7	2.133865240381111E-4
2.702E7	1.9021299693566695E-4
2.704E7	1.7872574665527745E-4
2.706E7	2.1157565859594957E-4
2.708E7	1.9508733486707692E-4
2.71E7	1.5442279244455093E-4
2.712E7	2.8721712453297143E-4
2.714E7	1.5808607202915862E-4
2.716E7	1.6359832921666103E-4
2.718E7	1.9251570333856898E-4
2.72E7	1.7742591572848267E-4
2.722E7	1.6559732975081953E-4
2.724E7	2.0438919466646708E-4
2.726E7	1.1434858861889089E-4
2.728E7	1.0890966764531174E-4
2.73E7	1.320077580585446E-4
2.732E7	1.1110690935779649E-4
2.734E7	2.0765761289426505E-4
2.736E7	1.5063135080809584E-4
2.738E7	1.4245529655123714E-4
2.74E7	2.70257121988201E-4
2.742E7	1.9840358225759735E-4
2.744E7	3.730366577104155E-4
2.746E7	3.1489504607617373E-4
2.748E7	3.4802490216870037E-4
2.75E7	2.3229056863365052E-4
2.752E7	2.011012222213404E-4
2.754E7	2.3295918830346714E-4
2.756E7	1.7657537024787587E-4
2.758E7	2.2877948810121683E-4
2.76E7	2.3429078667607086E-4
2.762E7	3.4214014071010107E-4
2.764E7	2.7940197156375385E-4
2.766E7	2.728491286498006E-4
2.768E7	3.082744056957916E-4
2.77E7	2.9040811143786607E-4
2.772E7	2.516687310490431E-4
2.774E7	3.1880504951683954E-4
2.776E7	2.926131585770183E-4
2.778E7	2.2886677312887867E-4
2.78E7	2.3152069080905352E-4
2.782E7	2.1435058358566325E-4
2.784E7	2.523251734518495E-4
2.786E7	2.1851459568203763E-4
2.788E7	3.505992097661777E-4
2.79E7	2.839333931754721E-4
2.792E7	1.4822974626326157E-4
2.794E7	1.1003382134806852E-4
2.796E7	2.8026306264558793E-4
2.798E7	4.580790268922893E-4
2.8E7	4.280434697980759E-4
2.802E7	5.092569718755651E-4
2.804E7	3.2871564705453434E-4
2.806E7	2.1450119123728208E-4
2.808E7	1.4769206977898413E-4
2.81E7	1.553874336952025E-4
2.812E7	1.557441777953156E-4
2.814E7	2.334668454439295E-4
2.816E7	3.695080970075013E-4
2.818E7	3.1296436846370166E-4
2.82E7	4.4294906180243946E-4
2.822E7	3.4987483247969387E-4
2.824E7	2.4885715732877745E-4
2.826E7	1.8032093698470216E-4
2.828E7	2.155256015354294E-4
2.83E7	2.4691546397615335E-4
2.832E7	3.510472258739456E-4
2.834E7	3.279153827827812E-4
2.836E7	2.652595268099705E-4
2.838E7	2.2294443638689817E-4
2.84E7	1.9338441060811153E-4
2.842E7	3.643421081874789E-4
2.844E7	4.3691140944322407E-4
2.846E7	4.607875441456782E-4
2.848E7	3.337128577464685E-4
2.85E7	2.6443795662610154E-4
2.852E7	2.6292424521880543E-4
2.854E7	3.2427786335565757E-4
2.856E7	6.980408058787557E-4
2.858E7	2.8848687618914567E-4
2.86E7	5.107309795200921E-4
2.862E7	3.2310337828589766E-4
2.864E7	3.829547047723021E-4
2.866E7	5.043889706627891E-4
2.868E7	3.639500716652789E-4
2.87E7	2.2660665251117784E-4
2.872E7	2.7189476401348633E-4
2.874E7	3.592012349640149E-4
2.876E7	3.778252494013307E-4
2.878E7	1.5715936147188463E-4
2.88E7	1.8082794833504474E-4
2.882E7	2.056948944900054E-4
2.884E7	1.8325430124237126E-4
2.886E7	1.4408550911634908E-4
2.888E7	1.7007177532534477E-4
2.89E7	9.649051995962973E-5
2.892E7	9.904598191459069E-5
2.894E7	8.678014981588412E-5
2.896E7	6.538756374700999E-5
2.898E7	7.91877694951023E-5
2.9E7	8.849180881254084E-5
2.902E7	8.044493562339934E-5
2.904E7	7.937229434318599E-5
2.906E7	1.5142227886676902E-4
2.908E7	8.637429268191554E-5
2.91E7	1.7191960411805536E-4
2.912E7	3.445867437466659E-4
2.914E7	1.8596918637415037E-4
2.916E7	1.7432150404542046E-4
2.918E7	2.6667276236642663E-4
2.92E7	2.3920101573213657E-4
2.922E7	3.493710839848756E-4
2.924E7	2.569405200666985E-4
2.926E7	1.515385313511821E-4
2.928E7	2.045129456888022E-4
2.93E7	1.3388000684284423E-4
2.932E7	2.8603968790053344E-4
2.934E7	3.0744299029270515E-4
2.936E7	3.7055768336147037E-4
2.938E7	4.031814801264267E-4
2.94E7	2.561504835255836E-4
2.942E7	3.700315250075146E-4
2.944E7	4.5652294304829376E-4
2.946E7	2.9056498763825074E-4
2.948E7	3.7241715552883736E-4
2.95E7	2.471819597593159E-4
2.952E7	3.7942232567778793E-4
2.954E7	2.3066028236218568E-4
2.956E7	3.31505340611682E-4
2.958E7	2.2115687492233136E-4
2.96E7	1.7603321390675987E-4
2.962E7	1.1864423697290455E-4
2.964E7	1.7492222883476016E-4
2.966E7	1.666083102845193E-4
2.968E7	3.1209144104833427E-4
2.97E7	1.491192309663138E-4
2.972E7	1.7162527513129084E-4
2.974E7	1.3757526144556525E-4
2.976E7	1.3451261697323397E-4
2.978E7	9.475107119888305E-5
2.98E7	1.4567279103721087E-4
2.982E7	2.0140573977305273E-4
2.984E7	2.8638765956608256E-4
2.986E7	4.119361621080789E-4
2.988E7	2.752088831557993E-4
2.99E7	3.461037899765971E-4
2.992E7	2.709393756396359E-4
2.994E7	2.7738519426063156E-4
2.996E7	2.661209958300966E-4
2.998E7	3.3779105889381484E-4
3.0E7	4.095458479341039E-4
3.002E7	3.400026521460737E-4
3.004E7	3.472886731195422E-4
3.006E7	1.812064282206693E-4
3.008E7	2.0875982488990382E-4
3.01E7	1.5651896809534596E-4
3.012E7	1.593037140961529E-4
3.014E7	1.0172197682238265E-4
3.016E7	1.67121577033086E-4
3.018E7	1.2018535745245787E-4
3.02E7	3.0877394529224035E-4
3.022E7	2.4302164865289155E-4
3.024E7	3.2919592142824865E-4
3.026E7	3.863011448275983E-4
3.028E7	2.1023934506525995E-4
3.03E7	3.753091065138459E-4
3.032E7	3.41713274481801E-4
3.034E7	2.8013927287604885E-4
3.036E7	4.415933014643676E-4
3.038E7	4.8651751464726605E-4
3.04E7	5.700535852825626E-4
3.042E7	7.360107003478155E-4
3.044E7	7.090068945030187E-4
3.046E7	4.5311795083061374E-4
3.048E7	4.669685699557276E-4
3.05E7	3.0174035406178054E-4
