,d,S.E.
1,n/c,n/c
2,n/c,n/c
4,0.01548822,0.00263141
5,n/c,n/c
6,0.003367,0.00149025
7,0.0013468,0.00078297
8,0.02424242,0.00407333
9,0.0026936,0.00131991
11,0.00763187,0.00183709
10,0.00089787,0.00062636
12,0.0117491,0.00112333
13,0.01346801,0.00243762
3,0.00255892,0.00085597
14,0.00628507,0.0016831
15,0.00673401,0.00137306
17,0.00484584,0.0008086
18,0.01013308,0.00121729
19,0.0040404,0.00116053
22,0.00294448,0.00074499
16,0.00751964,0.00171538
23,0.01245791,0.00194915
25,0.0085019,0.00094365
26,n/c,n/c
27,n/c,n/c
20,n/c,n/c
29,0.00478863,0.00089208
28,0.00044893,0.00046976
31,0,0
33,0.00590521,0.00121982
37,0.0061844,0.00084997
38,0.00112233,0.00066209
40,n/c,n/c
32,0,0
21,0.0020202,0.00113523
41,0.00222577,0.00064376
42,0.00185185,0.00055283
43,0.0026936,0.00133585
44,0.0013468,0.00056617
24,n/c,n/c
45,0.0020202,0.00115605
46,0.00179574,0.00092153
48,0.00434455,0.00062701
49,0.00370913,0.0007714
51,0.01616162,0.00337782
53,0.01077441,0.00218948
55,0.0051583,0.00087252
57,0.00526691,0.0010591
50,0.00345463,0.00059449
60,0,0
61,0.003367,0.00147249
62,0.00215834,0.00068008
39,0.00482604,0.0013182
64,0.00513665,0.00069465
65,0.00136001,0.00041659
66,0.0020202,0.00087709
56,0.00150393,0.00044377
67,0.00641334,0.00127575
47,0.003367,0.00152644
68,0.00189421,0.00043439
69,0.00202121,0.00059545
71,0.0010101,0.00058258
74,0.0016576,0.00058136
34,0.00310513,0.00088444
75,0.0059749,0.00111104
77,n/c,n/c
79,0.00284351,0.00048674
52,0.00179574,0.00093248
35,0.00379553,0.0009518
80,0.00390591,0.00059579
70,0.0009697,0.00020649
30,n/c,n/c
81,0.00347378,0.00066132
82,0.0005877,0.00031071
78,0.00493827,0.00143981
83,0.00875421,0.00244832
86,0.00049008,0.00025357
72,0.0006734,0.00037507
87,0.00673401,0.00222328
88,0.00175084,0.00070939
90,0.00763187,0.00181618
93,0.00294448,0.00071785
84,0.00113356,0.00037303
96,0.00224467,0.0005337
97,0.00371974,0.00100789
99,0.0002072,0.00014192
101,n/c,n/c
102,0.00215488,0.00054737
36,0.0041366,0.00095507
91,0.00639118,0.00122294
63,0.0003367,0.00032718
94,n/c,n/c
100,0.00044893,0.00043355
103,0.00254668,0.00074491
105,0.00016835,0.00016496
107,0.00475122,0.00097813
110,0.0017612,0.00054106
108,n/c,n/c
73,0.0013468,0.00094355
112,0.00089787,0.00036605
113,n/c,n/c
114,0.00053872,0.00038203
115,0.00044893,0.0004313
116,0.00119608,0.00026434
117,0.0023455,0.00051577
104,0.00089787,0.00063034
76,0.00637486,0.00137971
92,0.00112233,0.00064633
111,0.002886,0.00089691
106,0.0013468,0.00077589
58,0.0026936,0.00139789
98,n/c,n/c
85,0,0
109,n/c,n/c
59,0.0013468,0.00093967
54,n/c,n/c
118,0.0020202,0.00113722
119,0.00070547,0.00041044
89,0.00093058,0.00040946
120,0.00126129,0.00037692
95,0.00166766,0.00063277
