,d,S.E.
1,n/c,n/c
2,0.0043771,0.00116965
3,n/c,n/c
4,0.003367,0.001476
5,0,0
6,0.0020202,0.00119715
7,0,0
8,0.00746004,0.00091466
9,0,0
11,0.003367,0.00147611
10,n/c,n/c
12,0.01071004,0.00119245
13,0.0040404,0.00165822
14,0.00593042,0.00081824
15,n/c,n/c
16,0.00314254,0.00118955
19,n/c,n/c
20,0.01661055,0.00268391
21,0.00044893,0.00042801
22,0.00246914,0.0009203
24,0.0006734,0.00069591
25,n/c,n/c
17,0.0013468,0.0007661
26,0.01616162,0.00319668
18,n/c,n/c
27,0.003367,0.00148876
28,0.00538721,0.00195327
29,0.0047138,0.00180828
30,n/c,n/c
31,0.00455249,0.00058689
32,n/c,n/c
33,0.00466615,0.00063755
34,0.00955388,0.00100337
35,0.0006734,0.00066481
37,0.0040404,0.00164396
38,0.00628507,0.00163951
23,0.0020202,0.00116036
39,0.00606469,0.00203875
36,0.0003367,0.00034994
40,0.00513885,0.00076901
41,0.0026936,0.00109839
42,0.0040404,0.00158938
43,0.00534623,0.00074034
44,0.0071317,0.00090425
45,0.00599006,0.0005983
46,n/c,n/c
47,0.00538721,0.00153152
48,0.00424518,0.00072753
49,0,0
50,n/c,n/c
51,0.0026936,0.0013383
52,0.00529515,0.0007339
53,0.0043771,0.00121154
55,0.00374635,0.00068125
56,0.00585341,0.00075798
57,n/c,n/c
58,0.00546763,0.00065464
59,0.00538721,0.00158568
54,n/c,n/c
60,0.00314254,0.00114553
61,0.01391695,0.00250215
62,0.00332109,0.00075105
63,0.00092951,0.00034552
64,n/c,n/c
67,0.0013468,0.00078681
68,0.00456039,0.00075658
69,0.00359147,0.00128485
70,0.00739527,0.00095632
71,0.00216875,0.00058268
72,0.00246272,0.00049827
73,0.00203263,0.00053483
65,0.00516274,0.00136432
74,0.001813,0.00048381
75,0.00313296,0.00061208
76,0.00327843,0.00071549
77,0.00089787,0.0006632
78,0.00224467,0.00097549
79,0.00308504,0.00059539
80,0.00390227,0.00064953
81,0.0029413,0.00058081
82,0.0003367,0.00033038
83,0.00107744,0.00064461
84,0.00089787,0.0006231
85,0.00022447,0.00022167
86,n/c,n/c
87,0.00349883,0.00058813
88,0.00034963,0.00021389
89,0.00131687,0.00043928
90,0.00378953,0.0006682
91,0.0006734,0.00048712
92,0.00095068,0.00042619
93,0.00210397,0.00054511
94,0.00095926,0.00030108
95,n/c,n/c
96,n/c,n/c
97,0.001702,0.00049796
98,0.00192172,0.00055167
99,0.0006734,0.00049631
100,0,0
101,0.00077543,0.00040445
102,0.00245902,0.00055675
103,0.00216611,0.00051413
104,0.00044893,0.00042979
106,n/c,n/c
107,0.00109173,0.00044725
109,0.00179574,0.00088813
110,0.00258137,0.00071841
111,0.00498316,0.00116619
66,0.00044893,0.00044961
113,0,0
114,0.00026936,0.00027173
115,0.0026936,0.00112198
116,0,0
117,0.0003367,0.00032859
108,0,0
118,0.00119332,0.00036919
119,0.00633576,0.00090102
120,0,0
121,0.00044893,0.0004393
122,0.00586743,0.00071864
123,0.0006734,0.00064499
124,n/c,n/c
105,n/c,n/c
125,0.00553535,0.00091319
126,0.00460201,0.00081931
127,0,0
128,n/c,n/c
129,n/c,n/c
112,0.0040404,0.00159435
130,n/c,n/c
131,0.0020202,0.00112703
132,0.0020202,0.00120029
133,0.00121853,0.00056933
134,0.00062815,0.00023629
135,0.0013468,0.00096487
136,0,0
137,0.0013468,0.00095709
138,n/c,n/c
139,n/c,n/c
140,0.0006734,0.00064377
141,0.0020202,0.00082868
142,n/c,n/c
143,0.00673401,0.00217032
144,0.00419446,0.00079741
145,0.003367,0.00147657
146,0.0040404,0.00130725
147,0.0020202,0.00113707
148,n/c,n/c
149,0.00293188,0.00054391
150,0.01010101,0.00255285
151,0.00314254,0.00119608
152,0.0020202,0.00119234
153,0.00853413,0.00186806
154,0.0003848,0.00027377
155,0.0004826,0.00024895
156,0,0
157,0,0
158,0.0006734,0.00068412
159,n/c,n/c
160,0,0
161,0.00144131,0.00038783
162,0.00342417,0.00050503
163,0.0040404,0.00157523
164,0.0020202,0.00116847
165,n/c,n/c
166,0.00067385,0.00065464
167,n/c,n/c
168,0.00763187,0.00185707
169,n/c,n/c
170,0.0003367,0.00034123
171,0.00875421,0.00249917
172,0.0040404,0.00161372
173,n/c,n/c
174,0,0
175,0.00179574,0.00089636
177,0.00179574,0.00087154
178,n/c,n/c
179,0.0020202,0.00109138
180,0.0026936,0.00095458
182,0.0006734,0.00069571
183,n/c,n/c
184,0.00538721,0.00197506
185,0.00606061,0.00199716
186,0.00022447,0.00021339
187,0.00398983,0.00076211
188,0.0026936,0.00130766
189,0.00156325,0.00059886
190,0.0013468,0.00077759
191,0,0
192,0.00044893,0.00046751
193,0.00044893,0.00045638
194,0.0013468,0.00093395
195,0.00193125,0.00049324
196,0.00357326,0.0005136
197,0.00022447,0.00023234
198,0.00044893,0.00046286
199,0.00040404,0.0004002
200,0.00229647,0.00056917
201,0,0
202,n/c,n/c
203,0,0
204,0.00109384,0.00039883
205,n/c,n/c
206,0,0
207,0.00314254,0.0012118
181,n/c,n/c
208,n/c,n/c
209,0.0013468,0.00078403
210,0.00606061,0.00211351
211,0.01818182,0.00354024
212,0.00180778,0.00039761
213,0.00808081,0.00190686
214,0.0047138,0.00177498
215,n/c,n/c
216,n/c,n/c
217,0.00180375,0.0007044
218,n/c,n/c
219,0.00302496,0.00056152
220,0.00026936,0.00027357
221,0.00314254,0.00116853
222,0.0047138,0.00186607
223,n/c,n/c
224,n/c,n/c
225,0.0006734,0.00065968
226,0.00718294,0.00176116
227,n/c,n/c
228,0,0
229,0,0
230,n/c,n/c
231,0.00026936,0.00026323
232,0.0010101,0.00057221
233,0.0013468,0.00098625
234,0.0006734,0.0006943
235,n/c,n/c
176,n/c,n/c
236,n/c,n/c
237,0,0
238,n/c,n/c
239,n/c,n/c
240,0.000518,0.00022187
241,0,0
