
     d           S.E.
1    n/c         n/c         
2    n/c         n/c         
3     0.01548822  0.00267032
4    n/c         n/c         
5     0.00336700  0.00155234
6     0.00134680  0.00077419
7     0.02424242  0.00400552
8     0.00269360  0.00133535
9     0.00763187  0.00190841
10    0.00089787  0.00065499
11    0.01174910  0.00110616
12    0.01346801  0.00240863
13    0.00134680  0.00077600
14    0.00000000  0.00000000
15    0.00628507  0.00162339
16   n/c         n/c         
17    0.00359147  0.00127485
18    0.00484584  0.00079638
19    0.01013308  0.00115221
20    0.00000000  0.00000000
21    0.00294448  0.00073315
22   n/c         n/c         
23    0.00583614  0.00162789
24    0.01122334  0.00218719
25    0.00850190  0.00092627
26   n/c         n/c         
27   n/c         n/c         
28   n/c         n/c         
29   n/c         n/c         
30    0.00471380  0.00171380
31    0.00044893  0.00044214
32    0.00269360  0.00107114
33   n/c         n/c         
34   n/c         n/c         
35    0.00000000  0.00000000
36    0.00202020  0.00120597
39    0.00067340  0.00065766
40    0.00618440  0.00079064
41    0.00112233  0.00065693
42   n/c         n/c         
43    0.00000000  0.00000000
44    0.00202020  0.00114673
45    0.00269360  0.00108144
46    0.00044893  0.00044464
47   n/c         n/c         
37    0.00000000  0.00000000
48    0.00222577  0.00062992
49   n/c         n/c         
50    0.00269360  0.00132890
51   n/c         n/c         
38   n/c         n/c         
52    0.00134680  0.00050444
53    0.00033670  0.00034443
54   n/c         n/c         
55    0.00089787  0.00063310
56   n/c         n/c         
57    0.00202020  0.00114044
58    0.00179574  0.00091907
59    0.00434455  0.00063848
60   n/c         n/c         
61    0.00202020  0.00078047
63    0.00053872  0.00039342
64   n/c         n/c         
65    0.01616162  0.00320401
66    0.01077441  0.00210200
67    0.00422470  0.00077900
68    0.00269360  0.00107092
69    0.00113035  0.00046260
62   n/c         n/c         
70    0.00345463  0.00057975
71    0.00000000  0.00000000
72    0.00336700  0.00147488
73    0.00179574  0.00087959
74    0.00314254  0.00119407
75   n/c         n/c         
76    0.00513665  0.00068390
77    0.00359147  0.00124887
78    0.00136001  0.00040054
79    0.00000000  0.00000000
80    0.00150393  0.00042251
81    0.00224467  0.00104533
82    0.00493827  0.00149247
83    0.00000000  0.00000000
84    0.00067340  0.00068951
85    0.00026936  0.00025979
86   n/c         n/c         
87    0.00000000  0.00000000
88    0.00000000  0.00000000
89    0.00336700  0.00150324
90    0.00118948  0.00033422
91    0.00740741  0.00226241
92    0.00202020  0.00114772
93    0.00000000  0.00000000
94    0.00202020  0.00113525
95    0.00044893  0.00044208
96    0.00165760  0.00054452
97    0.00069745  0.00040347
98    0.00000000  0.00000000
99    0.00067340  0.00049162
100   0.00336927  0.00153044
101  n/c         n/c         
102   0.00284351  0.00049269
103   0.00179574  0.00088809
104   0.00269360  0.00108517
105   0.00390591  0.00058806
106   0.00096970  0.00019537
107  n/c         n/c         
108   0.00347378  0.00064008
109   0.00000000  0.00000000
110   0.00000000  0.00000000
111  n/c         n/c         
112   0.00058770  0.00031602
113   0.00493827  0.00150448
114   0.00875421  0.00244759
115   0.00049008  0.00024406
116   0.00124553  0.00046050
117   0.00067340  0.00038104
118   0.00673401  0.00213465
119   0.00175084  0.00072072
120   0.00763187  0.00183848
121   0.00261878  0.00069649
122   0.00113356  0.00037127
123   0.00224467  0.00053852
124   0.00179574  0.00087659
125  n/c         n/c         
126   0.00020720  0.00015284
127  n/c         n/c         
128   0.00067340  0.00067769
129   0.00269360  0.00134602
130   0.00215488  0.00055121
131   0.00000000  0.00000000
132   0.00224467  0.00102910
133  n/c         n/c         
134   0.00033670  0.00033669
135   0.00033670  0.00032764
136   0.00149110  0.00060066
137  n/c         n/c         
138  n/c         n/c         
139   0.00044893  0.00045295
140   0.00067340  0.00069122
141   0.00089787  0.00063804
142   0.00067340  0.00066798
143   0.00000000  0.00000000
144   0.00173160  0.00069907
145   0.00016835  0.00016171
146  n/c         n/c         
147  n/c         n/c         
148   0.00000000  0.00000000
149   0.00269360  0.00108049
150   0.00269360  0.00133280
151   0.00176120  0.00053775
152   0.00026936  0.00025744
153   0.00000000  0.00000000
154  n/c         n/c         
155   0.00134680  0.00095161
156   0.00089787  0.00036060
157   0.00202020  0.00113338
158  n/c         n/c         
159  n/c         n/c         
160   0.00053872  0.00037671
161   0.00044893  0.00046337
162   0.00119608  0.00025951
163   0.00234550  0.00053460
164   0.00134680  0.00094800
165  n/c         n/c         
166   0.00089787  0.00063630
167   0.00134680  0.00093925
168   0.00044893  0.00045570
169  n/c         n/c         
170  n/c         n/c         
171  n/c         n/c         
172   0.00179574  0.00090419
173   0.00269360  0.00127843
174   0.00067340  0.00046833
175   0.00134680  0.00078662
176  n/c         n/c         
177  n/c         n/c         
178   0.00224467  0.00097200
179  n/c         n/c         
180  n/c         n/c         
181   0.00269360  0.00131764
182   0.00000000  0.00000000
183   0.00202020  0.00114482
184  n/c         n/c         
185   0.00134680  0.00094384
186  n/c         n/c         
187   0.00000000  0.00000000
188  n/c         n/c         
189  n/c         n/c         
190  n/c         n/c         
191   0.00134680  0.00094140
192  n/c         n/c         
193  n/c         n/c         
194  n/c         n/c         
195   0.00202020  0.00116643
196   0.00000000  0.00000000
197   0.00269360  0.00136848
198   0.00070547  0.00042529
199  n/c         n/c         
200   0.00037414  0.00028068
201  n/c         n/c         
202   0.00126129  0.00036513
203  n/c         n/c         
204   0.00035921  0.00037291
