
     d           S.E.
1    n/c         n/c         
2    n/c         n/c         
3     0.01548822  0.00265500
4    n/c         n/c         
5     0.00336700  0.00152684
6     0.00134680  0.00077589
7     0.02424242  0.00398365
8     0.00269360  0.00136882
9     0.00763187  0.00184283
10    0.00089787  0.00064176
11    0.01174910  0.00111388
12    0.01346801  0.00237380
13    0.00134680  0.00078891
14    0.00000000  0.00000000
15    0.00628507  0.00165012
16   n/c         n/c         
17    0.00359147  0.00124291
18    0.00484584  0.00079550
19    0.01013308  0.00121244
20    0.00000000  0.00000000
21    0.00294448  0.00074638
22   n/c         n/c         
23    0.00583614  0.00157003
24    0.01122334  0.00222449
25    0.00850190  0.00092784
26   n/c         n/c         
27   n/c         n/c         
28   n/c         n/c         
29   n/c         n/c         
30    0.00471380  0.00176911
31    0.00044893  0.00045937
32    0.00269360  0.00111728
33   n/c         n/c         
34   n/c         n/c         
35    0.00000000  0.00000000
36    0.00215488  0.00077959
38    0.00067340  0.00064679
39    0.00618440  0.00084987
40    0.00112233  0.00067151
41   n/c         n/c         
42    0.00000000  0.00000000
43    0.00202020  0.00117654
37    0.00269360  0.00112151
44    0.00044893  0.00045051
45   n/c         n/c         
46    0.00222577  0.00064053
47   n/c         n/c         
48    0.00269360  0.00130366
49   n/c         n/c         
50    0.00134680  0.00050636
51    0.00033670  0.00034717
52   n/c         n/c         
53    0.00089787  0.00064317
54   n/c         n/c         
55    0.00202020  0.00121413
56    0.00179574  0.00088698
57    0.00434455  0.00064287
58   n/c         n/c         
61    0.00255892  0.00082622
64    0.00053872  0.00038005
59   n/c         n/c         
65    0.01616162  0.00327418
66    0.01077441  0.00211106
67    0.00422470  0.00076724
68    0.00269360  0.00107515
70    0.00113035  0.00047517
72    0.00345463  0.00058463
73    0.00000000  0.00000000
74    0.00336700  0.00153049
75    0.00179574  0.00089438
76    0.00314254  0.00122355
62   n/c         n/c         
77    0.00513665  0.00067652
78    0.00359147  0.00122347
79    0.00136001  0.00040500
80    0.00000000  0.00000000
81    0.00150393  0.00044889
82    0.00224467  0.00101072
83    0.00493827  0.00147310
71    0.00000000  0.00000000
84    0.00067340  0.00067545
60    0.00026936  0.00026687
85   n/c         n/c         
86    0.00000000  0.00000000
63    0.00000000  0.00000000
87    0.00336700  0.00144422
88    0.00118948  0.00036460
89    0.00740741  0.00225456
90    0.00202020  0.00112470
91    0.00000000  0.00000000
92    0.00202020  0.00115802
93    0.00044893  0.00044568
94    0.00165760  0.00058180
95    0.00069745  0.00044039
96    0.00000000  0.00000000
97    0.00067340  0.00049540
69    0.00336927  0.00154840
98   n/c         n/c         
99    0.00284351  0.00050460
100   0.00179574  0.00090761
101   0.00269360  0.00111302
102   0.00390591  0.00060664
103   0.00096970  0.00020261
104  n/c         n/c         
105   0.00347378  0.00060057
106   0.00000000  0.00000000
107   0.00000000  0.00000000
108  n/c         n/c         
109   0.00058770  0.00030877
110   0.00493827  0.00144710
111   0.00875421  0.00239694
112   0.00049008  0.00024245
113   0.00124553  0.00045409
114   0.00067340  0.00039508
115   0.00673401  0.00213004
116   0.00175084  0.00069860
117   0.00763187  0.00184699
118   0.00261878  0.00067060
119   0.00113356  0.00037363
120   0.00224467  0.00054935
121   0.00179574  0.00085047
122  n/c         n/c         
123   0.00020720  0.00015130
124  n/c         n/c         
125   0.00067340  0.00067636
126   0.00269360  0.00133357
127   0.00215488  0.00053807
128   0.00000000  0.00000000
130   0.00224467  0.00100057
131  n/c         n/c         
132   0.00033670  0.00032978
133   0.00033670  0.00035102
134   0.00149110  0.00059181
135  n/c         n/c         
136  n/c         n/c         
137   0.00044893  0.00043769
138   0.00067340  0.00066423
129   0.00089787  0.00064059
139   0.00067340  0.00065405
140   0.00000000  0.00000000
141   0.00173160  0.00071704
142   0.00016835  0.00016256
143  n/c         n/c         
145  n/c         n/c         
147   0.00000000  0.00000000
148   0.00269360  0.00111248
149   0.00269360  0.00129951
150   0.00176120  0.00054908
151   0.00026936  0.00027536
152   0.00000000  0.00000000
153  n/c         n/c         
154   0.00134680  0.00095394
155   0.00089787  0.00037078
156   0.00202020  0.00112535
157  n/c         n/c         
158  n/c         n/c         
159   0.00053872  0.00038744
160   0.00044893  0.00047086
161   0.00119608  0.00025426
162   0.00234550  0.00053907
163   0.00134680  0.00097849
164  n/c         n/c         
165   0.00089787  0.00062844
166   0.00134680  0.00095242
167   0.00044893  0.00045380
168  n/c         n/c         
169  n/c         n/c         
170  n/c         n/c         
171   0.00179574  0.00087488
172   0.00269360  0.00131314
173   0.00067340  0.00049616
174   0.00134680  0.00075491
175  n/c         n/c         
176  n/c         n/c         
144   0.00224467  0.00099729
177  n/c         n/c         
178  n/c         n/c         
179   0.00269360  0.00138698
146   0.00000000  0.00000000
180   0.00202020  0.00111436
181  n/c         n/c         
182   0.00134680  0.00094882
183  n/c         n/c         
184   0.00000000  0.00000000
185  n/c         n/c         
186  n/c         n/c         
187  n/c         n/c         
188   0.00134680  0.00094812
189  n/c         n/c         
190  n/c         n/c         
191  n/c         n/c         
192   0.00202020  0.00112757
193   0.00000000  0.00000000
194   0.00269360  0.00132066
195   0.00070547  0.00041516
196  n/c         n/c         
197   0.00037414  0.00027338
198  n/c         n/c         
199   0.00126129  0.00037028
200  n/c         n/c         
201   0.00035921  0.00037303
