,d,S.E.
1,0.02029385,0.00194483
3,0.00606061,0.00200037
4,0.01571268,0.00261931
5,0.00653787,0.00088446
8,n/c,n/c
9,0.00199027,0.00054659
11,0.00167663,0.00049125
12,0.00677142,0.00107994
14,0.00493025,0.00106414
2,0.00932858,0.00116963
6,0.00892256,0.00156647
13,0.01010101,0.00261056
16,0.00291807,0.00106841
19,0.00151844,0.00050181
22,0.00606061,0.00200161
17,n/c,n/c
18,0.00121212,0.00064533
10,n/c,n/c
25,0.00067385,0.00067729
20,0.00942761,0.00201265
26,0.00619529,0.0013895
30,0.00217027,0.00059112
32,0.00695491,0.00091841
34,0.00856589,0.001017
31,0.00221781,0.00051782
35,0.00155203,0.0005752
37,0.00606061,0.00199901
7,0.0027385,0.00093661
38,0.00691358,0.00136629
36,0.00110507,0.00038832
27,0.0007548,0.00029833
39,0.00175612,0.00049059
23,n/c,n/c
15,0.00155806,0.00044041
40,0.0011544,0.00052828
21,n/c,n/c
42,0.00255892,0.00091487
43,n/c,n/c
44,0.00282187,0.00081229
41,0.00294256,0.00057538
45,n/c,n/c
46,0.00224467,0.00099205
28,0.0040404,0.00160862
24,0.00336791,0.00103555
29,n/c,n/c
48,0.0010101,0.00058479
33,0.0046874,0.0008841
49,n/c,n/c
47,0.0013468,0.00096872
