
    d           S.E.
1    0.01657295  0.00146659
3    0.00606061  0.00201289
6    0.01571268  0.00250580
10   0.01077572  0.00122109
7    0.00377512  0.00069463
13   0.00167663  0.00048470
11   0.01045608  0.00125851
4    0.00421652  0.00082248
18   0.00507295  0.00114304
8    0.00624696  0.00102957
21   0.00821028  0.00151211
14   0.00067385  0.00065749
22   0.00570204  0.00097382
15   0.00294170  0.00066640
2    0.00773532  0.00099839
24   0.00856589  0.00097971
16   0.00289847  0.00082846
5    0.00606061  0.00196186
12   0.00297505  0.00054163
17   0.00324803  0.00073652
9    0.00457912  0.00104502
23   0.00282187  0.00081806
19   0.00866442  0.00155417
20   0.00175084  0.00072945
