
    d           S.E.
1    0.00987654  0.00205040
2    0.00606061  0.00200691
3    0.01571268  0.00263357
4    0.00202020  0.00118149
6    0.00382619  0.00069208
5    0.01481481  0.00326874
7   n/c         n/c         
8    0.00199027  0.00053777
9    0.00167663  0.00048859
10  n/c         n/c         
11   0.00852974  0.00198646
12   0.00430976  0.00112817
13   0.00121212  0.00063878
14   0.00448934  0.00144408
15   0.01683502  0.00328918
16  n/c         n/c         
17   0.00202020  0.00117923
18   0.00617284  0.00143699
19  n/c         n/c         
20   0.01010101  0.00259919
21   0.00179574  0.00090200
22  n/c         n/c         
23  n/c         n/c         
24   0.00151844  0.00049971
25   0.00404040  0.00158000
26   0.00606061  0.00206144
27   0.00763187  0.00182333
28   0.00000000  0.00000000
29  n/c         n/c         
30   0.00121212  0.00061251
31  n/c         n/c         
32   0.00067385  0.00068186
33  n/c         n/c         
34   0.00269360  0.00132087
35  n/c         n/c         
36   0.00942761  0.00201695
37  n/c         n/c         
38  n/c         n/c         
39   0.00000000  0.00000000
40   0.00493827  0.00154153
41   0.00142761  0.00044037
42  n/c         n/c         
43   0.00856589  0.00102291
44   0.00137245  0.00045465
45   0.00179574  0.00087518
46   0.00085297  0.00050402
47   0.00000000  0.00000000
48   0.00119716  0.00057887
49   0.00026936  0.00025350
50   0.00606061  0.00199417
51   0.00044893  0.00044525
52   0.00538721  0.00187157
53   0.00044893  0.00043897
54   0.00110507  0.00039606
55   0.00000000  0.00000000
56   0.00044893  0.00025637
57   0.00404040  0.00166459
58  n/c         n/c         
59   0.00514350  0.00083238
60   0.00269360  0.00138416
61   0.00087853  0.00031303
62  n/c         n/c         
63  n/c         n/c         
64  n/c         n/c         
65   0.00155806  0.00043273
66   0.00115440  0.00050923
67  n/c         n/c         
68   0.00000000  0.00000000
69   0.00269360  0.00113484
70   0.00067340  0.00047475
71   0.00029353  0.00021100
72   0.00000000  0.00000000
73  n/c         n/c         
74  n/c         n/c         
75   0.00336700  0.00148328
76   0.00282187  0.00082263
77  n/c         n/c         
78   0.00673401  0.00205571
79  n/c         n/c         
80   0.00294256  0.00060566
81   0.00089787  0.00061827
82   0.00044893  0.00045772
83  n/c         n/c         
84  n/c         n/c         
85   0.00224467  0.00098098
86   0.00089787  0.00060978
87   0.00404040  0.00162757
88   0.00089832  0.00063467
89  n/c         n/c         
90  n/c         n/c         
91   0.00101010  0.00060735
92   0.00269360  0.00127691
93   0.00176309  0.00057382
94  n/c         n/c         
95   0.00067340  0.00047377
96   0.00000000  0.00000000
97  n/c         n/c         
98   0.00134680  0.00093340
99   0.00269360  0.00136725
