
    d           S.E.
1    0.01308881  0.00122329
4    0.01274857  0.00142204
5    0.01123892  0.00118597
8    0.00455249  0.00054898
2    0.00466615  0.00062992
11   0.00919342  0.00099413
9    0.00965883  0.00125141
13   0.00513885  0.00079802
6    0.00885096  0.00127770
14   0.00549636  0.00073524
16   0.00816455  0.00112777
12   0.01187097  0.00137828
20   0.00566300  0.00080487
23   0.00629186  0.00081392
25   0.00546763  0.00069212
3    0.01754542  0.00228797
21   0.01095967  0.00115243
26   0.00618782  0.00090326
24   0.00439709  0.00082968
17   0.00704793  0.00102823
18   0.00763796  0.00086055
30   0.00826446  0.00127338
10   0.00735736  0.00120042
7    0.00265310  0.00061485
27   0.01099114  0.00138883
15   0.00725308  0.00092469
19   0.00245902  0.00056019
28   0.00422601  0.00078589
32   0.00512827  0.00081217
33   0.00798924  0.00120300
22   0.00342417  0.00050883
31   0.00193125  0.00050688
34   0.00109384  0.00039813
29   0.00572664  0.00075292
