
     d           S.E.
1    n/c         n/c         
2     0.00891454  0.00157259
3     0.00406081  0.00090929
5     0.00746004  0.00087787
4     0.00336700  0.00146750
6     0.01071004  0.00124714
7     0.00587355  0.00117567
9     0.00593042  0.00075909
8    n/c         n/c         
11    0.00493025  0.00103921
13    0.01661055  0.00273580
14    0.00432900  0.00098119
10    0.01874926  0.00265053
12    0.00336700  0.00153861
16    0.00538721  0.00185744
17    0.00455249  0.00055469
15   n/c         n/c         
18    0.00466615  0.00061094
19    0.00955388  0.00099067
20    0.00394245  0.00087648
22    0.00404040  0.00162539
23    0.00628507  0.00166211
24    0.00513885  0.00080433
25    0.00269360  0.00109215
26    0.00404040  0.00166457
27    0.00534623  0.00072898
28    0.00713170  0.00086695
29    0.00599006  0.00060592
30    0.00239976  0.00060107
32    0.00424518  0.00070945
33   n/c         n/c         
36    0.00269360  0.00132806
38    0.00529515  0.00073332
39    0.00374635  0.00072635
40    0.00585341  0.00078696
41   n/c         n/c         
42    0.00546763  0.00067773
37    0.00538721  0.00153947
43    0.00314254  0.00116367
44    0.01391695  0.00251445
45    0.00332109  0.00074317
46    0.00092951  0.00033473
47    0.00741761  0.00119846
49    0.00134680  0.00079038
50    0.00456039  0.00077017
51    0.00359147  0.00128168
53    0.00739527  0.00095126
54    0.00216875  0.00060271
55    0.00246272  0.00049864
56    0.00203263  0.00052618
58    0.00181300  0.00049170
59    0.00313296  0.00059713
60    0.00412482  0.00081116
62    0.00168350  0.00072837
64    0.00224467  0.00100613
66    0.00308504  0.00060331
67    0.00390227  0.00063360
68    0.00294130  0.00053006
69    0.00033670  0.00034535
34    0.00107744  0.00063937
70    0.00089787  0.00063700
71    0.00070547  0.00040455
72    0.00349883  0.00055238
73    0.00034963  0.00022802
48    0.00479303  0.00090910
74    0.00378953  0.00065179
75    0.00067340  0.00047532
76    0.00095068  0.00044790
79    0.00210397  0.00053432
77    0.00156113  0.00044100
35   n/c         n/c         
81   n/c         n/c         
80    0.00170200  0.00051018
83    0.00192172  0.00056576
84    0.00067340  0.00050046
82    0.00000000  0.00000000
78    0.00077543  0.00039749
85    0.00245902  0.00057358
86    0.00216611  0.00053459
21   n/c         n/c         
57    0.00193683  0.00050714
87    0.00249906  0.00079693
90    0.00467680  0.00102556
88    0.00040404  0.00023840
93    0.00026936  0.00026879
96    0.00269360  0.00108536
98    0.00000000  0.00000000
100   0.00033670  0.00032640
101   0.00119332  0.00037195
102   0.00633576  0.00091753
103   0.00000000  0.00000000
105   0.00044893  0.00045536
106   0.00586743  0.00074540
99    0.00067340  0.00068992
104  n/c         n/c         
107   0.00553535  0.00091253
109   0.00460201  0.00085204
110   0.00336700  0.00114572
112  n/c         n/c         
31   n/c         n/c         
113   0.00336700  0.00111951
94    0.00202020  0.00109817
115   0.00062815  0.00022968
95    0.00134680  0.00095310
117   0.00000000  0.00000000
65    0.00134680  0.00094487
119  n/c         n/c         
52   n/c         n/c         
120   0.00067340  0.00064960
121   0.00202020  0.00084198
63   n/c         n/c         
124   0.01066218  0.00206855
61    0.00419446  0.00080209
126   0.00404040  0.00125202
128   0.00293188  0.00055844
108   0.01050505  0.00183644
129   0.00363636  0.00105373
131   0.01190113  0.00208814
116   0.00038480  0.00027072
133   0.00124557  0.00035206
135   0.00000000  0.00000000
122   0.00067340  0.00069705
125  n/c         n/c         
136   0.00000000  0.00000000
138   0.00144131  0.00038959
139   0.00342417  0.00049260
127  n/c         n/c         
137   0.00067385  0.00066549
130   0.00134680  0.00062864
140   0.00875421  0.00239640
141   0.00404040  0.00163139
142  n/c         n/c         
118   0.00000000  0.00000000
97    0.00350168  0.00099770
114  n/c         n/c         
89    0.00202020  0.00109897
143   0.00067340  0.00064963
111  n/c         n/c         
134   0.00538721  0.00185261
145   0.00022447  0.00022750
148   0.00398983  0.00076399
146   0.00269360  0.00139352
150   0.00156325  0.00059744
151   0.00134680  0.00073744
91    0.00230880  0.00080794
152   0.00102613  0.00059421
144   0.00134680  0.00096102
155   0.00193125  0.00052584
156   0.00357326  0.00048959
157   0.00022447  0.00023688
158   0.00044893  0.00044827
149   0.00040404  0.00039668
159   0.00229647  0.00057354
160   0.00000000  0.00000000
161  n/c         n/c         
92    0.00000000  0.00000000
164   0.00109384  0.00038056
162   0.00067340  0.00048093
165   0.00314254  0.00117808
168   0.00134680  0.00077831
169   0.00606061  0.00198733
170   0.01818182  0.00349721
171   0.00180778  0.00040131
172   0.00808081  0.00186803
173   0.00471380  0.00178394
123  n/c         n/c         
174   0.00284325  0.00076150
177   0.00302496  0.00056031
178   0.00026936  0.00026140
180   0.00314254  0.00121476
181   0.00471380  0.00185576
175  n/c         n/c         
182   0.00718294  0.00175096
179  n/c         n/c         
183   0.00000000  0.00000000
163   0.00000000  0.00000000
147  n/c         n/c         
184   0.00026936  0.00026321
166   0.00188552  0.00069650
167   0.00134680  0.00096750
185   0.00067340  0.00067240
132  n/c         n/c         
153  n/c         n/c         
176   0.00000000  0.00000000
154  n/c         n/c         
186   0.00051800  0.00022969
187   0.00000000  0.00000000
