,d,S.E.
1,0.00987654,0.00211662
3,0.00606061,0.00197766
4,0.01571268,0.00259197
2,0.01788253,0.00194463
5,0.00382619,0.00070229
7,n/c,n/c
8,0.00199027,0.00054326
9,0.00167663,0.00049688
10,n/c,n/c
13,0.00439955,0.00107476
15,0.00650954,0.00111478
17,0.00460157,0.00129176
16,0.01335578,0.00217945
20,0.01010101,0.00253041
21,0.00179574,0.00090153
22,n/c,n/c
23,0.00151844,0.00049748
6,0.00936348,0.00155573
24,0.00606061,0.00200506
25,n/c,n/c
26,0.00121212,0.00060284
27,n/c,n/c
28,0.00067385,0.0006847
14,0.0026936,0.00135207
11,n/c,n/c
29,0.00942761,0.00204983
30,0.00493827,0.00150461
32,0.00142761,0.00044237
35,0.00743947,0.00142161
37,0.00856589,0.00103011
38,0.00137245,0.00045155
39,0.00179574,0.00091911
41,0.00085297,0.00051176
40,0,0
42,0.00119716,0.00056649
33,0.0009176,0.00047677
43,0.00606061,0.00195603
44,0.00044893,0.00044938
47,0.00538721,0.0018952
34,0.00076319,0.00046486
50,0.00110507,0.00040672
31,0.0040404,0.00171059
51,n/c,n/c
36,0.0051435,0.0008281
53,0.00214045,0.00073807
54,0.00087853,0.00031093
45,n/c,n/c
55,n/c,n/c
12,0.00378387,0.0008449
56,0.00155806,0.00044048
57,0.0011544,0.00049792
58,n/c,n/c
46,0,0
48,0.0026936,0.00109412
52,0.00029353,0.0002168
59,0,0
61,n/c,n/c
49,n/c,n/c
60,0.003367,0.0015149
62,0.00282187,0.00082906
18,0.00673401,0.00210256
63,0.00294256,0.00059895
64,n/c,n/c
65,0.00224467,0.00098253
66,0.0040404,0.00167782
67,0.00089832,0.00062998
68,n/c,n/c
69,n/c,n/c
70,0.0010101,0.00057817
71,0.00176309,0.00056879
74,n/c,n/c
72,0.00255892,0.00084345
19,0,0
75,0.0013468,0.00095493
73,0.0026936,0.00138767
