state	age(root)
2.0E7	1996.6727147093632
2.002E7	1995.9114316941063
2.004E7	1996.8375468276402
2.006E7	1997.6617112971112
2.008E7	1997.2911179297093
2.01E7	1996.1704014513075
2.012E7	1996.063007005991
2.014E7	1995.527982396833
2.016E7	1997.3309568554982
2.018E7	1997.3840866061164
2.02E7	1994.555557494067
2.022E7	1992.7135723118502
2.024E7	1994.7042530478743
2.026E7	1994.8396926369282
2.028E7	1994.534947188703
2.03E7	1990.3315263832737
2.032E7	1992.1276885396553
2.034E7	1988.9485211946087
2.036E7	1995.5354354999822
2.038E7	1993.4101894470798
2.04E7	1997.8492699202704
2.042E7	1997.99482862879
2.044E7	1989.6573380215575
2.046E7	1995.252476836674
2.048E7	1996.2454381339385
2.05E7	1996.108493309997
2.052E7	1991.7760054363082
2.054E7	1996.8312260327466
2.056E7	1996.6621062735487
2.058E7	1991.9894792597968
2.06E7	1995.2353661431073
2.062E7	1989.8487059433587
2.064E7	1996.553939115426
2.066E7	1990.826107552571
2.068E7	1992.252811577283
2.07E7	1985.2975599310435
2.072E7	1992.4433452463904
2.074E7	1994.0494042605665
2.076E7	1995.8300720496136
2.078E7	1996.4270456785819
2.08E7	1994.6130085798522
2.082E7	1995.973837009886
2.084E7	1993.5331944696652
2.086E7	1996.8697987633643
2.088E7	1991.11431339389
2.09E7	1992.5216462415297
2.092E7	1990.6371675451367
2.094E7	1992.3922690236259
2.096E7	1993.4200282557738
2.098E7	1993.4751832716465
2.1E7	1995.4722353729212
2.102E7	1994.2077499341344
2.104E7	1995.152909453812
2.106E7	1993.7708283747702
2.108E7	1992.1760608335196
2.11E7	1992.6552886305892
2.112E7	1991.5546762704505
2.114E7	1992.28929135793
2.116E7	1992.9802088098688
2.118E7	1996.2904598926891
2.12E7	1996.2879007418314
2.122E7	1993.8837099535901
2.124E7	1997.019737328387
2.126E7	1991.1667773486317
2.128E7	1990.5519137343701
2.13E7	1996.1890528021092
2.132E7	1996.1595285814437
2.134E7	1996.7586857601098
2.136E7	1997.2049667285746
2.138E7	1997.3621243235368
2.14E7	1996.4395583859152
2.142E7	1993.23022160285
2.144E7	1990.4024340253548
2.146E7	1994.8391188305868
2.148E7	1996.5843444718191
2.15E7	1997.797672117503
2.152E7	1996.8571692292821
2.154E7	1992.1487072963664
2.156E7	1994.050507121
2.158E7	1980.1009167532397
2.16E7	1995.5229561155484
2.162E7	1993.7990977346199
2.164E7	1995.9481754818144
2.166E7	1995.3156519029765
2.168E7	1991.124106449652
2.17E7	1992.8823088326815
2.172E7	1994.9535755997144
2.174E7	1992.9479507140923
2.176E7	1994.121855901701
2.178E7	1994.3419825889914
2.18E7	1995.2042492283135
2.182E7	1996.8554930592984
2.184E7	1996.03647411633
2.186E7	1987.628173827707
2.188E7	1995.6488737089933
2.19E7	1994.7209207952387
2.192E7	1993.7606358204632
2.194E7	1996.0247760149443
2.196E7	1996.1460217238448
2.198E7	1995.5013222481384
2.2E7	1997.018266511008
2.202E7	1997.6548491776214
2.204E7	1997.3899886527897
2.206E7	1994.0703902377313
2.208E7	1992.7092704158742
2.21E7	1991.9620596423367
2.212E7	1992.0837049423956
2.214E7	1993.370170024544
2.216E7	1981.4992140766583
2.218E7	1986.4509397431555
2.22E7	1990.9125592405699
2.222E7	1992.7681197893212
2.224E7	1993.9778846567583
2.226E7	1990.0253602675473
2.228E7	1995.9692967018914
2.23E7	1995.4494380428443
2.232E7	1994.9878626161706
2.234E7	1995.3746992618635
2.236E7	1991.4369765984984
2.238E7	1997.2316981712083
2.24E7	1994.5384160023923
2.242E7	1996.7863259848298
2.244E7	1995.3005538879165
2.246E7	1995.5010628433947
2.248E7	1993.8199270548735
2.25E7	1995.3263032231223
2.252E7	1997.1479835195937
2.254E7	1996.0446949631141
2.256E7	1995.192618239467
2.258E7	1995.6908947523298
2.26E7	1995.9810226179936
2.262E7	1995.8965209160765
2.264E7	1995.3829278433973
2.266E7	1995.7099018720726
2.268E7	1989.7971001287656
2.27E7	1991.7828051472698
2.272E7	1996.0986829198935
2.274E7	1994.6341294841056
2.276E7	1992.3302377075715
2.278E7	1994.1512023130315
2.28E7	1992.3704129519338
2.282E7	1995.0752093852452
2.284E7	1994.1406572743135
2.286E7	1992.3815072579084
2.288E7	1995.3453232255201
2.29E7	1993.965720552033
2.292E7	1995.1789022019673
2.294E7	1989.466837499433
2.296E7	1993.5265137158574
2.298E7	1996.2627616353393
2.3E7	1994.1241704490456
2.302E7	1993.4806835011777
2.304E7	1995.3413015636352
2.306E7	1995.5808753879196
2.308E7	1997.2171277285586
2.31E7	1997.8332375195419
2.312E7	1996.297756239127
2.314E7	1996.5257801609791
2.316E7	1997.6072639492984
2.318E7	1994.9618462737621
2.32E7	1995.992267707777
2.322E7	1989.024013021115
2.324E7	1992.931186277519
2.326E7	1996.0762957920053
2.328E7	1993.8143137645266
2.33E7	1990.4337599315984
2.332E7	1990.1018470987362
2.334E7	1991.8141876076143
2.336E7	1994.7611451357914
2.338E7	1996.8634455922993
2.34E7	1997.9801418047687
2.342E7	1997.8587997794239
2.344E7	1997.8336696930487
2.346E7	1996.5957725085527
2.348E7	1995.5956501384703
2.35E7	1995.8853782615474
2.352E7	1991.7067903921875
2.354E7	1996.758472403408
2.356E7	1997.1554665393935
2.358E7	1994.398583602811
2.36E7	1993.5961073911553
2.362E7	1994.1389505965421
2.364E7	1996.144518231883
2.366E7	1995.663818781797
2.368E7	1994.8039903683837
2.37E7	1996.2513457892796
2.372E7	1994.2546126886964
2.374E7	1989.1874648406376
2.376E7	1987.6828639689531
2.378E7	1995.6777262698358
2.38E7	1993.2221951473475
2.382E7	1994.2484368805128
2.384E7	1997.7302941281762
2.386E7	1994.1162098921081
2.388E7	1985.6703965934992
2.39E7	1990.661898915167
2.392E7	1989.774926201843
2.394E7	1991.61818227978
2.396E7	1990.3629576309984
2.398E7	1993.0969742114517
2.4E7	1994.1010679100002
2.402E7	1991.2042350191866
2.404E7	1997.6698712297473
2.406E7	1996.7876951451258
2.408E7	1994.2983676734573
2.41E7	1992.9714378065057
2.412E7	1993.5060256190134
2.414E7	1990.2166697026216
2.416E7	1992.3165949194015
2.418E7	1996.7862182140793
2.42E7	1994.5560187620138
2.422E7	1991.3804351488463
2.424E7	1996.123105747915
2.426E7	1996.240937062175
2.428E7	1996.5014628415097
2.43E7	1995.0880608808827
2.432E7	1996.7667327918493
2.434E7	1995.3936454561904
2.436E7	1993.831195422104
2.438E7	1995.4765515504307
2.44E7	1997.0209350978
2.442E7	1992.5584097542474
2.444E7	1995.974416727895
2.446E7	1996.5832457910237
2.448E7	1993.9443650711132
2.45E7	1997.2532649162808
2.452E7	1993.790974762227
2.454E7	1994.5562780405446
2.456E7	1996.528590554716
2.458E7	1994.8842671840846
2.46E7	1994.723754357112
2.462E7	1994.7615753683053
2.464E7	1991.571354176906
2.466E7	1996.5485827042721
2.468E7	1995.7691091789773
2.47E7	1992.0618704853366
2.472E7	1992.833426230812
2.474E7	1994.3852003229479
2.476E7	1991.9348388802644
2.478E7	1996.0785352712232
2.48E7	1994.4943449135592
2.482E7	1993.5332964848756
2.484E7	1996.615114576359
2.486E7	1993.436465482276
2.488E7	1992.9544291012214
2.49E7	1991.000137109708
2.492E7	1991.9371586930922
2.494E7	1994.386639877819
2.496E7	1992.3303768712653
2.498E7	1996.7166324786403
2.5E7	1995.693819937738
2.502E7	1993.6126579764316
2.504E7	1993.8295339148679
2.506E7	1996.6065367558037
2.508E7	1993.4246787646887
2.51E7	1996.0165617971484
2.512E7	1995.9687004359237
2.514E7	1993.1776654977427
2.516E7	1994.657601273638
2.518E7	1995.230605039583
2.52E7	1996.435638036299
2.522E7	1995.418754246269
2.524E7	1994.6598251574674
2.526E7	1992.2444061852545
2.528E7	1992.4478345783532
2.53E7	1997.0110880626248
2.532E7	1996.7425270445888
2.534E7	1995.219531027555
2.536E7	1996.3734478397887
2.538E7	1996.494287472907
2.54E7	1997.7567016165815
2.542E7	1995.3824663149996
2.544E7	1991.9581157377902
2.546E7	1994.1685391041497
2.548E7	1991.5633085442457
2.55E7	1992.144271520056
2.552E7	1993.5313273885995
2.554E7	1993.6298868232352
2.556E7	1996.5661037371967
2.558E7	1987.997423114593
2.56E7	1990.4215506789928
2.562E7	1992.237177579122
2.564E7	1992.2438389580711
2.566E7	1991.1724130799948
2.568E7	1993.1037159378777
2.57E7	1995.3119498450023
2.572E7	1997.709420197328
2.574E7	1997.9202129589364
2.576E7	1997.6012578016264
2.578E7	1997.435504635645
2.58E7	1996.8067806540028
2.582E7	1997.4953290130168
2.584E7	1996.7421558812073
2.586E7	1997.3180168623794
2.588E7	1995.952575514803
2.59E7	1997.010494243493
2.592E7	1996.0915053705942
2.594E7	1995.6216622273353
2.596E7	1996.856741780688
2.598E7	1995.1904957466588
2.6E7	1994.2739839082071
2.602E7	1997.7140227924117
2.604E7	1996.0200535458366
2.606E7	1991.384110172606
2.608E7	1989.8661560742985
2.61E7	1994.9116663279658
2.612E7	1995.829526402074
2.614E7	1997.749765018
2.616E7	1997.624564591617
2.618E7	1997.1718731658018
2.62E7	1997.8014515629657
2.622E7	1996.2607427415905
2.624E7	1993.4537448801561
2.626E7	1993.1740368534197
2.628E7	1993.2218713835728
2.63E7	1994.6080075897034
2.632E7	1996.7796642364283
2.634E7	1997.625755991244
2.636E7	1996.8471008393487
2.638E7	1996.7892355736692
2.64E7	1994.490820161389
2.642E7	1994.1308239669845
2.644E7	1996.1535621281735
2.646E7	1996.4259217815622
2.648E7	1990.590758452552
2.65E7	1996.2009397999707
2.652E7	1994.9185302516116
2.654E7	1995.0283904051162
2.656E7	1993.7070262141278
2.658E7	1996.6505278561112
2.66E7	1995.6361313567143
2.662E7	1993.6951140913623
2.664E7	1996.4055375007817
2.666E7	1996.7865415723093
2.668E7	1997.6655669113945
2.67E7	1997.589696686073
2.672E7	1996.7599552368715
2.674E7	1996.8438527427493
2.676E7	1996.9689010130066
2.678E7	1994.933510664775
2.68E7	1991.7584131644596
2.682E7	1993.4817101106669
2.684E7	1996.7552456941953
2.686E7	1996.8246029054098
2.688E7	1996.5694013400134
2.69E7	1993.4375272737302
2.692E7	1995.8173265148148
2.694E7	1996.2484220752792
2.696E7	1995.8836419231943
2.698E7	1990.8834112115294
2.7E7	1995.884427542968
2.702E7	1996.114723029497
2.704E7	1989.126306931009
2.706E7	1996.4065238367841
2.708E7	1996.5340295122844
2.71E7	1994.328251317988
2.712E7	1994.735151931247
2.714E7	1995.9741084530106
2.716E7	1996.4797524598318
2.718E7	1994.795629584751
2.72E7	1996.4251900064341
2.722E7	1997.9092507319176
2.724E7	1996.5400155181137
2.726E7	1996.5438559579566
2.728E7	1995.2229469689144
2.73E7	1994.2131136440985
2.732E7	1996.4681644292853
