state	age(root)
2.0E7	2006.5171974149014
2.002E7	2005.5309542436628
2.004E7	2006.6932953124642
2.006E7	2006.8336688604973
2.008E7	2006.7958156766704
2.01E7	2006.901211242967
2.012E7	2006.2960442639994
2.014E7	2004.6422857038267
2.016E7	2006.1590341713174
2.018E7	2005.968630310396
2.02E7	2005.785850186929
2.022E7	2002.5918073724968
2.024E7	2006.4574389260647
2.026E7	2006.7706578789332
2.028E7	2006.5000290134692
2.03E7	2005.9208074781975
2.032E7	2006.9062968720207
2.034E7	2006.3205231092836
2.036E7	2006.382100860635
2.038E7	2006.7690429439467
2.04E7	2006.2392576485367
2.042E7	2006.4839277562198
2.044E7	2006.4946228797535
2.046E7	2006.8659293984247
2.048E7	2006.9540708760426
2.05E7	2006.9072694992592
2.052E7	2003.1359047053284
2.054E7	2006.3221513869426
2.056E7	2006.8933212125148
2.058E7	2006.4585218556888
2.06E7	2006.8972154890125
2.062E7	2006.8892462116985
2.064E7	2006.5181347609414
2.066E7	2006.1765171265893
2.068E7	2005.5317708802224
2.07E7	2006.9622371840778
2.072E7	2006.9818778552165
2.074E7	2006.9840627111587
2.076E7	2006.1755216685522
2.078E7	2006.532493478287
2.08E7	2006.5757977750552
2.082E7	2006.9749426163962
2.084E7	2004.5597886279845
2.086E7	2005.580872644412
2.088E7	2006.8243328378292
2.09E7	2006.6249901338315
2.092E7	2006.979943449089
2.094E7	2006.1465250483786
2.096E7	2006.9591427602888
2.098E7	2006.7191381749108
2.1E7	2006.9128727818904
2.102E7	2006.2035278434996
2.104E7	2006.8559093539038
2.106E7	2006.7983083207407
2.108E7	2006.166879630409
2.11E7	2005.7516395696405
2.112E7	2006.804269726881
2.114E7	2006.5148465641917
2.116E7	2006.3672018263983
2.118E7	2006.0003460988967
2.12E7	2005.2610237942672
2.122E7	2005.4259153623807
2.124E7	2004.8268514644117
2.126E7	2006.0760648094918
2.128E7	2004.7900056518922
2.13E7	2005.63005773394
2.132E7	2006.2731903885397
2.134E7	2006.3434090421547
2.136E7	2006.4087920425768
2.138E7	2006.2154534923893
2.14E7	2005.8075027363652
2.142E7	2006.4020165375275
2.144E7	2006.775649218546
2.146E7	2005.6196951151546
2.148E7	2004.3068764840052
2.15E7	2004.8211569212472
2.152E7	2004.660243810766
2.154E7	2005.937978212366
2.156E7	2006.2769187679653
2.158E7	2006.9959722966223
2.16E7	2006.8748613545968
2.162E7	2006.995709867965
2.164E7	2006.9938788514728
2.166E7	2006.9656290320263
2.168E7	2006.8330527705816
2.17E7	2006.3213728857804
2.172E7	2005.4661804651462
2.174E7	2006.046649575265
2.176E7	2006.9453622645167
2.178E7	2006.0813471187748
2.18E7	2006.8409281988243
2.182E7	2006.973260405997
2.184E7	2006.955937347184
2.186E7	2006.550541631147
2.188E7	2006.787991657212
2.19E7	2006.6318984058707
2.192E7	2006.8145588772313
2.194E7	2006.9665145569031
2.196E7	2006.987314803687
2.198E7	2006.9979535785537
2.2E7	2006.748306534653
2.202E7	2006.9420353056012
2.204E7	2006.7167683379673
2.206E7	2006.6015514424405
2.208E7	2006.9749690867636
2.21E7	2006.0114516001838
2.212E7	2006.0933053621907
2.214E7	2006.8901226601
2.216E7	2006.964356153687
2.218E7	2006.698574905377
2.22E7	2006.7593196142975
2.222E7	2006.608504695542
2.224E7	2006.6075811895648
2.226E7	2006.8437861643174
2.228E7	2006.9721056801895
2.23E7	2006.619846329882
2.232E7	2006.7153637172446
2.234E7	2006.8095790562713
2.236E7	2006.999179805693
2.238E7	2006.9992018780204
2.24E7	2006.6958197944832
2.242E7	2006.9987588321967
2.244E7	2006.9467297302872
2.246E7	2006.5860668917646
2.248E7	2006.8823028932131
2.25E7	2006.9907423710445
2.252E7	2006.9709923800701
2.254E7	2006.41195152825
2.256E7	2006.8981605297718
2.258E7	2006.6965838407893
2.26E7	2006.3983982243385
2.262E7	2006.289372209729
2.264E7	2006.237526796178
2.266E7	2006.7449071113278
2.268E7	2006.9431865888519
2.27E7	2006.5248661938328
2.272E7	2006.9921154394629
2.274E7	2006.1858519001103
2.276E7	2006.9223269077886
2.278E7	2006.9928323454958
2.28E7	2006.928761224917
2.282E7	2005.9159397466126
2.284E7	2006.7813124507854
2.286E7	2006.7654037500934
2.288E7	2006.8644688945983
2.29E7	2006.9926040917776
2.292E7	2006.9636178106703
2.294E7	2006.99228845451
2.296E7	2006.382637467496
2.298E7	2006.8900308701989
2.3E7	2006.6944778070858
2.302E7	2006.9765603840733
2.304E7	2006.9666214365716
2.306E7	2006.9642233671464
2.308E7	2006.5949282061913
2.31E7	2006.7295512688781
2.312E7	2006.9951817937215
2.314E7	2006.8778887218527
2.316E7	2006.9636780895726
2.318E7	2006.6677307013265
2.32E7	2006.999862202339
2.322E7	2006.7309648558953
2.324E7	2006.797532278073
2.326E7	2006.1640444660281
2.328E7	2006.9330814054583
2.33E7	2006.5269083971277
2.332E7	2006.6140760496821
2.334E7	2006.695714809911
2.336E7	2006.9817250184303
2.338E7	2006.7657782463323
2.34E7	2005.8459858329245
2.342E7	2006.4727138340115
2.344E7	2006.1969700883847
2.346E7	2005.5664916921548
2.348E7	2006.7134252864025
2.35E7	2006.2080763986028
2.352E7	2006.9375065500174
2.354E7	2006.9070702698016
2.356E7	2006.976491937061
2.358E7	2006.8784964646936
2.36E7	2006.697191179443
2.362E7	2006.949678867036
2.364E7	2006.875727193891
2.366E7	2006.864159090196
2.368E7	2006.9950672469095
