state	age(root)
2.0E7	2006.3799721439605
2.002E7	2005.5418261840132
2.004E7	2003.6247638773336
2.006E7	2003.3840335866194
2.008E7	2004.207824283988
2.01E7	2004.9967974231063
2.012E7	2003.7988779909122
2.014E7	2005.8060363196505
2.016E7	2003.5245144578182
2.018E7	2003.4792429349495
2.02E7	2004.069971792454
2.022E7	2005.155948773336
2.024E7	2006.995268587846
2.026E7	2006.9810579774908
2.028E7	2006.999653695274
2.03E7	2006.9983262567112
2.032E7	2006.9897913051652
2.034E7	2006.7479362940335
2.036E7	2005.5481238209923
2.038E7	2003.6059843784565
2.04E7	2005.198602310453
2.042E7	2004.7235095762794
2.044E7	2005.9107527822207
2.046E7	2004.1213129610142
2.048E7	2006.6939473702564
2.05E7	2006.7894678130288
2.052E7	2006.9744060569567
2.054E7	2004.239233397061
2.056E7	2005.5781482823659
2.058E7	2002.6695893807919
2.06E7	2006.0657661662838
2.062E7	2003.0669272432413
2.064E7	2006.2658744382218
2.066E7	2006.382154418845
2.068E7	2002.9708414259273
2.07E7	1999.8688123173658
2.072E7	2006.9323295762206
2.074E7	2004.2797865123216
2.076E7	2005.0747423615726
2.078E7	2004.0701664043622
2.08E7	2006.7394902896517
2.082E7	2003.3526731859527
2.084E7	2006.093157831619
2.086E7	2004.7362035343992
2.088E7	2006.0352613442612
2.09E7	2004.4741274753849
2.092E7	2005.4020098944343
2.094E7	2006.585956844938
2.096E7	2005.8601963496646
2.098E7	2005.0798739717911
2.1E7	2006.2817343711267
2.102E7	2004.9309571534332
2.104E7	2006.7427878381166
2.106E7	2004.9086373185478
2.108E7	2006.0342451001743
2.11E7	2003.911856024157
2.112E7	2006.8834823363359
2.114E7	2006.9867000888673
2.116E7	2006.1819820413464
2.118E7	2006.9781077084244
2.12E7	2006.9931201608067
2.122E7	2006.973657708882
2.124E7	2006.9736423094485
2.126E7	2006.9104622922248
2.128E7	2006.9994286305516
2.13E7	2006.758488863941
2.132E7	2005.9578458516985
2.134E7	2006.2465841549144
2.136E7	2002.7533009231686
2.138E7	2006.8727553503013
2.14E7	2006.8454911140313
2.142E7	2006.990873009451
2.144E7	2006.7762533255009
2.146E7	2005.4602092577118
2.148E7	2004.792930953417
2.15E7	2005.757063946919
2.152E7	2006.1733777121276
2.154E7	2004.341016559117
2.156E7	2006.6420599033233
2.158E7	1998.5859966636838
2.16E7	2003.5812434729448
2.162E7	2000.315763465693
2.164E7	2004.2839111214291
2.166E7	2005.9841249495296
2.168E7	2006.8454069719805
2.17E7	2006.9299027079037
2.172E7	2006.9886788982735
2.174E7	2006.9659983857634
2.176E7	2006.052575893949
2.178E7	2003.972505537486
2.18E7	1997.7689989072428
2.182E7	2006.8332475117356
2.184E7	2006.5644304138573
2.186E7	2006.9983853371516
2.188E7	2005.9379245539692
2.19E7	2004.5341408564718
2.192E7	2005.6579317299036
2.194E7	2006.5711589389985
2.196E7	2005.517283335721
2.198E7	2000.937875169953
2.2E7	2003.1009766264167
2.202E7	2001.099964148933
2.204E7	1998.8449121690467
2.206E7	2004.9270983545414
2.208E7	2003.9413051286288
2.21E7	2005.0216455223203
2.212E7	2003.2285201276359
2.214E7	2003.939773978206
2.216E7	2001.5911062921305
2.218E7	2000.0345817284417
2.22E7	2005.8519252643055
2.222E7	2002.8188091476488
2.224E7	2004.7781871732946
2.226E7	2003.779189609507
2.228E7	2001.1841029472105
2.23E7	2001.8602394085653
2.232E7	1995.2109770877528
2.234E7	2004.5282491483879
2.236E7	2006.0848569088462
2.238E7	2004.5898520471162
2.24E7	2005.5301234871504
2.242E7	2004.1820227287064
2.244E7	2003.9149115132577
2.246E7	1997.7650987353093
2.248E7	2004.9761626097359
2.25E7	2003.0674477443229
2.252E7	2006.0531845549451
2.254E7	2006.5641627849966
2.256E7	2005.665260260654
2.258E7	2005.083084880839
2.26E7	2004.6639959975876
2.262E7	2006.9368040328907
2.264E7	2006.5354154766712
2.266E7	2003.080963117361
2.268E7	1999.5884624494583
2.27E7	1998.1048829876772
2.272E7	1996.0234408752813
2.274E7	2001.458006972486
2.276E7	2004.050507134094
2.278E7	2004.4020590889784
2.28E7	2006.3237079455516
2.282E7	2002.097420368085
2.284E7	2002.567353678886
2.286E7	2002.2920632132682
2.288E7	2005.7590704948002
2.29E7	2004.6771701051887
2.292E7	2006.8013202787733
2.294E7	2003.792332704347
2.296E7	2001.82384007486
2.298E7	2003.5339833062799
2.3E7	2004.751393462531
2.302E7	2003.843357539689
2.304E7	2006.7739464840834
2.306E7	2002.7704286337623
2.308E7	1999.4293710847292
2.31E7	2000.7453818867255
2.312E7	2003.0335668734233
2.314E7	2005.474408133307
2.316E7	2006.2673212893465
2.318E7	2003.5932394409272
2.32E7	2004.5164728371606
2.322E7	2002.2560495489479
2.324E7	2003.9026266415433
2.326E7	2006.3346526511032
2.328E7	2006.9906914081425
2.33E7	2006.7116662599597
2.332E7	2006.871408781817
2.334E7	2006.738731353079
2.336E7	2006.8962083518709
2.338E7	2004.5139201754796
