state	age(root)
2.0E7	2007.9505701428516
2.002E7	2008.3152917892758
2.004E7	2008.2483283589265
2.006E7	2008.2793123856018
2.008E7	2008.4718162187658
2.01E7	2008.502399910599
2.012E7	2008.2653279459792
2.014E7	2008.6537703540746
2.016E7	2008.383969776517
2.018E7	2008.3517178301056
2.02E7	2008.2869224464691
2.022E7	2008.4505938517516
2.024E7	2008.390128185735
2.026E7	2008.3908107520285
2.028E7	2008.4533832063576
2.03E7	2008.5818203712927
2.032E7	2008.6257604194363
2.034E7	2008.6243538007398
2.036E7	2008.2853000759872
2.038E7	2008.6921330127336
2.04E7	2008.572475561313
2.042E7	2008.460260798463
2.044E7	2008.5386131456937
2.046E7	2008.6918191344444
2.048E7	2008.6085496027022
2.05E7	2008.6621516528937
2.052E7	2008.7044479552785
2.054E7	2008.6628507883347
2.056E7	2008.7098809928793
2.058E7	2008.7721474289253
2.06E7	2008.7634224260014
2.062E7	2008.7616650586735
2.064E7	2008.708398529454
2.066E7	2008.728883337411
2.068E7	2008.8014405516615
2.07E7	2008.792966717402
2.072E7	2008.6388356174987
2.074E7	2008.542309558564
2.076E7	2008.573120013654
2.078E7	2008.4280012452834
2.08E7	2008.4467447986283
2.082E7	2007.9862003968492
2.084E7	2008.4569393444783
2.086E7	2007.4863072641465
2.088E7	2008.3731089938565
2.09E7	2008.226131270451
2.092E7	2008.2660334282502
2.094E7	2008.276704311555
2.096E7	2008.2508879703
2.098E7	2008.24245212173
2.1E7	2008.042542990341
2.102E7	2008.224214897857
2.104E7	2008.2067443855844
2.106E7	2008.1962692621603
2.108E7	2008.1038610865257
2.11E7	2008.018629119998
2.112E7	2008.2109631491307
2.114E7	2008.2192725267653
2.116E7	2008.3028171860312
2.118E7	2008.159425412183
2.12E7	2008.180100371642
2.122E7	2007.9788426310822
2.124E7	2008.4122302398855
2.126E7	2008.3458475553796
2.128E7	2008.568841813706
2.13E7	2008.495458707476
2.132E7	2008.6149703824196
2.134E7	2008.6201409174314
2.136E7	2008.5745308233143
2.138E7	2008.364268122296
2.14E7	2008.529341602119
2.142E7	2008.5790284449845
2.144E7	2008.39216375558
2.146E7	2008.5986319287078
2.148E7	2008.5222538648768
2.15E7	2008.5430246441383
2.152E7	2008.613420485128
2.154E7	2008.6406602419836
2.156E7	2008.709383386996
2.158E7	2008.6032272172645
2.16E7	2008.621241611269
2.162E7	2008.5798373552636
2.164E7	2008.5755111509409
2.166E7	2008.5665940602996
2.168E7	2008.4510491898043
2.17E7	2008.6670163475164
2.172E7	2008.5303598369394
2.174E7	2008.686873069562
2.176E7	2008.204789085992
2.178E7	2008.464139784788
2.18E7	2007.8276416826557
2.182E7	2008.3799819706855
2.184E7	2008.3390578874178
2.186E7	2008.2239842601166
2.188E7	2008.3757290483352
2.19E7	2008.414132141573
2.192E7	2008.3364332646688
2.194E7	2008.3193002683286
2.196E7	2008.3654307002973
2.198E7	2008.3636448716568
2.2E7	2008.373830315623
2.202E7	2008.3819605690055
2.204E7	2008.3162599019493
2.206E7	2008.1947476706578
2.208E7	2008.1322644872996
2.21E7	2007.9873755500578
2.212E7	2008.2552587984303
2.214E7	2008.2695627345865
2.216E7	2008.354573344553
2.218E7	2008.3190591800774
2.22E7	2008.3106339855344
2.222E7	2008.188778453774
2.224E7	2008.2751412286423
2.226E7	2008.0977854404728
2.228E7	2008.3816083486863
2.23E7	2008.33850237425
2.232E7	2008.393385239642
2.234E7	2008.631137880262
2.236E7	2008.5315117482944
2.238E7	2008.5168883178335
2.24E7	2008.525366554218
2.242E7	2008.4006195955933
2.244E7	2008.5077865528376
2.246E7	2008.5331285801512
2.248E7	2008.487474195924
2.25E7	2008.3359273785695
2.252E7	2008.1878085695266
2.254E7	2007.62889974976
2.256E7	2008.3218917829513
2.258E7	2008.2972667362997
2.26E7	2008.2460453177487
2.262E7	2008.5706868722964
