state	age(root)
2.0E7	1996.0062161008009
2.002E7	1995.345903763868
2.004E7	1992.926009410665
2.006E7	1993.4555317185016
2.008E7	1996.2014266591987
2.01E7	1994.3813108637164
2.012E7	1995.0402037174276
2.014E7	1994.5431228610657
2.016E7	1992.7159704657665
2.018E7	1993.4204774673842
2.02E7	1994.4994915300485
2.022E7	1992.9714709616383
2.024E7	1992.0803866572792
2.026E7	1993.5023620336235
2.028E7	1995.5199585055486
2.03E7	1989.8697900656448
2.032E7	1995.6826984096951
2.034E7	1995.6617916674588
2.036E7	1995.3450346469851
2.038E7	1993.3289863635007
2.04E7	1993.9682032080505
2.042E7	1992.154179382474
2.044E7	1994.346623494439
2.046E7	1995.6508969822926
2.048E7	1994.2614271703665
2.05E7	1992.1251222720982
2.052E7	1990.5864164354577
2.054E7	1994.449299223252
2.056E7	1991.3745677800857
2.058E7	1993.664778985905
2.06E7	1987.576475918596
2.062E7	1994.1231539523112
2.064E7	1993.7797821664115
2.066E7	1991.5195600513202
2.068E7	1989.5459667919185
2.07E7	1991.6646303184666
2.072E7	1994.0938254503608
2.074E7	1992.796417432419
2.076E7	1993.6202304192184
2.078E7	1988.653499385072
2.08E7	1993.6022600269541
2.082E7	1991.1649747569643
2.084E7	1992.7087668729641
2.086E7	1993.661769701317
2.088E7	1992.8999773762957
2.09E7	1993.6309816977277
2.092E7	1989.2911923375937
2.094E7	1994.415527663279
2.096E7	1994.5140001660839
2.098E7	1995.4170735681128
2.1E7	1994.8626773645979
2.102E7	1992.6024540652566
2.104E7	1995.1714488940145
2.106E7	1993.8829764234115
2.108E7	1993.487412415606
2.11E7	1993.5144689555968
2.112E7	1992.2324681700616
2.114E7	1993.4574568465114
2.116E7	1994.9111307488745
2.118E7	1992.4019877041417
2.12E7	1994.4582494889726
2.122E7	1995.3562127198338
2.124E7	1993.5017986008515
2.126E7	1995.476194806452
2.128E7	1995.411237159139
2.13E7	1995.2153319655622
2.132E7	1994.8175655826474
2.134E7	1994.9231288184787
2.136E7	1993.9149228520848
2.138E7	1994.4597984501695
2.14E7	1992.2539032921661
2.142E7	1992.5285309668175
2.144E7	1993.4578300808932
2.146E7	1993.6024358415352
2.148E7	1988.934570047701
2.15E7	1990.3668818388394
2.152E7	1995.3315130720173
2.154E7	1991.6010029178965
2.156E7	1991.2960823975998
2.158E7	1994.2685928187666
2.16E7	1995.2612991224664
2.162E7	1995.2026629878717
2.164E7	1996.647972667139
2.166E7	1995.8541811361492
2.168E7	1995.7049633622053
2.17E7	1995.782804884898
2.172E7	1992.39990914973
2.174E7	1993.9562271914424
2.176E7	1995.3837379503168
2.178E7	1995.988549041328
2.18E7	1994.8798290120342
2.182E7	1995.1063336766479
2.184E7	1989.5655172808583
2.186E7	1987.8125610136287
2.188E7	1991.2645352913567
2.19E7	1993.6967852902824
2.192E7	1993.414801016274
2.194E7	1994.5645619134352
2.196E7	1992.8460353350674
2.198E7	1994.5913163631028
2.2E7	1991.1686897119955
2.202E7	1989.7819038734817
2.204E7	1993.4629880266277
2.206E7	1986.651227137373
2.208E7	1992.6946064920367
2.21E7	1991.0508748774935
2.212E7	1994.4093913189063
2.214E7	1993.9570952629344
2.216E7	1994.0835797522336
2.218E7	1991.1520290067303
2.22E7	1994.9466588302682
2.222E7	1993.7040625019004
2.224E7	1995.1489009034967
2.226E7	1994.2841401973958
2.228E7	1991.5841162163192
2.23E7	1990.3079941415485
2.232E7	1992.2375500600067
2.234E7	1995.2921133511159
2.236E7	1995.6244181422462
2.238E7	1992.8549554124515
2.24E7	1993.2949502779272
2.242E7	1994.1439077719197
2.244E7	1992.2977517727093
2.246E7	1993.8765790245925
2.248E7	1994.8634212783725
2.25E7	1993.2902100176143
2.252E7	1994.6938232585035
2.254E7	1995.219485809363
2.256E7	1992.6624621642864
2.258E7	1993.6373316116305
2.26E7	1992.5044669922222
2.262E7	1991.5188002555124
2.264E7	1989.8030800094018
2.266E7	1990.4402451797025
2.268E7	1989.9036388397149
2.27E7	1992.4232610241788
2.272E7	1994.1958533729962
2.274E7	1993.1432901098217
2.276E7	1992.8177642363826
2.278E7	1994.3490801343676
2.28E7	1992.739498344711
2.282E7	1995.1900940732091
2.284E7	1992.1773649394647
2.286E7	1993.8637031595476
2.288E7	1993.9641869208754
2.29E7	1989.5193680138825
2.292E7	1993.6264361351018
2.294E7	1991.4780010241793
2.296E7	1992.862338927541
2.298E7	1993.2624578079822
2.3E7	1992.0082070626574
2.302E7	1993.7449179016412
2.304E7	1994.358177427737
2.306E7	1993.892863056904
2.308E7	1994.8978940793745
2.31E7	1993.1970169396448
2.312E7	1993.7789686985022
2.314E7	1994.0018390122905
2.316E7	1994.2733846403796
2.318E7	1994.177640493327
2.32E7	1995.3130203271808
2.322E7	1995.242234969521
2.324E7	1994.5257898900866
2.326E7	1993.2773304522816
2.328E7	1986.9693007876697
2.33E7	1990.2524830824839
2.332E7	1983.2178213707343
2.334E7	1992.7811245335797
2.336E7	1993.4410171737088
2.338E7	1990.4801024357978
2.34E7	1994.9883901733642
2.342E7	1991.6784353255225
2.344E7	1995.2918365580967
2.346E7	1989.8072361451568
2.348E7	1993.8400534195246
2.35E7	1993.9889896555978
2.352E7	1991.8305019147072
2.354E7	1993.4560348259838
2.356E7	1994.1190333445775
2.358E7	1996.2982212542115
2.36E7	1993.3593005025616
2.362E7	1994.8627810057262
2.364E7	1992.0022871516292
2.366E7	1994.2128873536562
2.368E7	1992.3927928352216
2.37E7	1994.3186178996968
2.372E7	1994.386409513117
2.374E7	1992.8832272863501
2.376E7	1992.6715019864935
2.378E7	1993.6807234039768
2.38E7	1993.772172369695
2.382E7	1993.099178493456
2.384E7	1993.3411164422926
2.386E7	1991.340504051094
2.388E7	1994.1403741161787
2.39E7	1992.5731338562468
2.392E7	1993.4988888596552
2.394E7	1993.6534279437078
2.396E7	1995.3786950943147
2.398E7	1995.2305195326833
