Species1,Species2,Distance
5A,5B,0.03381303
5A,5C,0.02317617
5B,5C,0.0297846
5A,5D,0.04749536
5B,5D,0.04717965
5C,5D,0.04439617
5A,5E,0.04896585
5B,5E,0.04542725
5C,5E,0.04908634
5D,5E,0.03953824
5A,5F,0.05618086
5B,5F,0.05552826
5C,5F,0.05311827
5D,5F,0.04665705
5E,5F,0.02424242
5A,5G,0.05877826
5B,5G,0.05409045
5C,5G,0.05896648
5D,5G,0.04627225
5E,5G,0.02222222
5F,5G,0.03973064
5A,5H,0.04840789
5B,5H,0.04566021
5C,5H,0.04610593
5D,5H,0.038076
5E,5H,0.03097643
5F,5H,0.0420202
5G,5H,0.03973064
5A,5I,0.06048848
5B,5I,0.05634726
5C,5I,0.05871557
5D,5I,0.05187323
5E,5I,0.02745978
5F,5I,0.0402544
5G,5I,0.03771044
5H,5I,0.04499813
5A,5J,0.07638288
5B,5J,0.07252101
5C,5J,0.07262364
5D,5J,0.0693282
5E,5J,0.0650954
5F,5J,0.07586981
5G,5J,0.07138047
5H,5J,0.06469136
5I,5J,0.07297668
5A,5K,0.04954471
5B,5K,0.04907541
5C,5K,0.04628482
5D,5K,0.04269128
5E,5K,0.03817485
5F,5K,0.05005225
5G,5K,0.04742831
5H,5K,0.03738303
5I,5K,0.05135132
5J,5K,0.05969658
5A,5L,0.05828001
5B,5L,0.05938294
5C,5L,0.0561495
5D,5L,0.04975252
5E,5L,0.04878441
5F,5L,0.05940924
5G,5L,0.05426785
5H,5L,0.04814413
5I,5L,0.05887657
5J,5L,0.0670839
5K,5L,0.0326755
5A,5M,0.05755222
5B,5M,0.05788729
5C,5M,0.05469938
5D,5M,0.05258461
5E,5M,0.04905796
5F,5M,0.06024787
5G,5M,0.05882943
5H,5M,0.04876854
5I,5M,0.0603211
5J,5M,0.06569716
5K,5M,0.0293658
5L,5M,0.04034514
5A,5N,0.05380792
5B,5N,0.05343677
5C,5N,0.05046489
5D,5N,0.04741542
5E,5N,0.04482604
5F,5N,0.05542088
5G,5N,0.05224467
5H,5N,0.04451515
5I,5N,0.05555805
5J,5N,0.0640404
5K,5N,0.02595805
5L,5N,0.0391892
5M,5N,0.03226676
5A,5O,0.056175
5B,5O,0.05736431
5C,5O,0.05406615
5D,5O,0.0518606
5E,5O,0.04639466
5F,5O,0.055456
5G,5O,0.0509243
5H,5O,0.04905902
5I,5O,0.0548118
5J,5O,0.06882742
5K,5O,0.03050685
5L,5O,0.04449757
5M,5O,0.03578811
5N,5O,0.02396806
5A,5P,0.05581894
5B,5P,0.05405962
5C,5P,0.05137465
5D,5P,0.04860346
5E,5P,0.04594815
5F,5P,0.05435259
5G,5P,0.05241084
5H,5P,0.04569579
5I,5P,0.05579855
5J,5P,0.06472492
5K,5P,0.0283535
5L,5P,0.04067963
5M,5P,0.03624067
5N,5P,0.02404893
5O,5P,0.02766787
5A,5Q,0.05407858
5B,5Q,0.05387539
5C,5Q,0.04916324
5D,5Q,0.04708156
5E,5Q,0.04487073
5F,5Q,0.05295771
5G,5Q,0.05204337
5H,5Q,0.04613351
5I,5Q,0.05563415
5J,5Q,0.06633717
5K,5Q,0.02886356
5L,5Q,0.04071032
5M,5Q,0.0366958
5N,5Q,0.02435898
5O,5Q,0.02792085
5P,5Q,0.01661543
5A,5R,0.05326799
5B,5R,0.05381953
5C,5R,0.04774817
5D,5R,0.0473226
5E,5R,0.04763389
5F,5R,0.05548605
5G,5R,0.05446959
5H,5R,0.04630868
5I,5R,0.05712792
5J,5R,0.06655063
5K,5R,0.03084346
5L,5R,0.04404757
5M,5R,0.0368763
5N,5R,0.02595136
5O,5R,0.02989551
5P,5R,0.01828819
5Q,5R,0.01320392
