"","Df","Sum.Sq","Mean.Sq","F.value","Pr..F."
"Genotype   ",2,191786.935897436,95893.4679487179,8.18317261856951,0.00117626249882561
"Residuals  ",36,421861.423076923,11718.3728632479,NA,NA
