Subgenotype,d,S.E.
4A,0.01474832,0.00136824
4D,0.00922482,0.0012173
4F,0.02002199,0.00205324
4E,0.01169263,0.00135441
4H,0.00661312,0.00105033
4G,0.01336219,0.00180851
4B,0.01038059,0.00135349
4C,0.00856589,0.00107631
