"","Subgenotype","Shannon.Wiener","Simpson"
"1","1A",1.42945794257374,0.679909098560727
"2","1B",1.0881952426349,0.512255425658557
"3","1C",0.0693948810408789,0.0222825400833229
"4","1D",0.425014810758241,0.176790206585678
"5","1E",0.41321953151646,0.153278244627746
"6","1F",1.07429805121084,0.578877551020408
"7","1G",0.509612750914091,0.257383431416931
"8","1H",1.9187345478494,0.814699108550505
"9","1I",0.335184055802814,0.187398593834505
"10","1J",1.95671259289892,0.82596053297352
"11","1K",0.580545617248445,0.267796314088567
"12","1L",1.35459643973157,0.672251217051884
"13","1M",0.746428943767664,0.409706415647544
"14","4A",0.700890827746039,0.288711111111111
"15","4B",0.378387007111836,0.157407407407408
"16","4C",0.582597576064956,0.260734072022161
"17","4D",0.76475441956742,0.426666666666667
"18","4E",0.936835372692021,0.477530864197531
"19","4F",1.64974827995282,0.776234567901235
"20","4G",1.39239795355669,0.666666666666667
"21","4H",1.53477824736823,0.69283631820075
"22","5A",0.955699891112534,0.571428571428571
"23","5B",1.88145180936874,0.815193571950329
"24","5C",1.49565379677002,0.711003194379484
"25","5D",0,0
"26","5E",0,0
"27","5F",0,0
"28","5G",0,0
"29","5H",0.673011667009257,0.48
"30","5I",0.686961576597323,0.493827160493827
"31","5J",1.09861228866811,0.666666666666667
"32","5K",2.59348980696102,0.900118906064209
"33","5L",0.741513710758728,0.483371126228269
"34","5M",1.22276198842149,0.620190131281123
"35","5N",1.71655431980742,0.730972222222222
"36","5O",1.02604352332712,0.488710059171598
"37","5P",1.05680924916201,0.517767932887171
"38","5Q",1.32233288813925,0.623011531015908
"39","5R",0.986035215109854,0.567995728017088
