Species1,Species2,Distance
1A1,1E1,0.04934175
1A10,1E1,0.037659
1A11,1E1,0.03659267
1A12,1E1,0.03967862
1A13,1E1,0.05014606
1A14,1E1,0.05068203
1A15,1E1,0.05489308
1A16,1E1,0.05513779
1A17,1E1,0.0497777
1A18,1E1,0.04689149
1A19,1E1,0.05096424
1A2,1E1,0.03394065
1A20,1E1,0.04290276
1A3,1E1,0.03492971
1A4,1E1,0.03868817
1A5,1E1,0.04218412
1A6,1E1,0.03819281
1A7,1E1,0.04400226
1A8,1E1,0.0403733
1A9,1E1,0.03606661
1B1,1E1,0.02596761
1B10,1E1,0.02139388
1B11,1E1,0.02543431
1B12,1E1,0.01491182
1B13,1E1,0.02171952
1B14,1E1,0.02340246
1B15,1E1,0.02206599
1B16,1E1,0.01973492
1B2,1E1,0.02516482
1B3,1E1,0.03367803
1B4,1E1,0.03090239
1B5,1E1,0.03201972
1B6,1E1,0.02027563
1B7,1E1,0.0224204
1B8,1E1,0.02417635
1B9,1E1,0.01658089
1C1,1E1,0.02830741
1D1,1E1,0.02174544
1D2,1E1,0.02418249
1D3,1E1,0.02492471
1D4,1E1,0.02492543
1A1,1A10,0.04177898
1A1,1A11,0.04110512
1A10,1A11,0.00830527
1A1,1A12,0.04510012
1A10,1A12,0.01200096
1A11,1A12,0.00941959
1A1,1A13,0.05413297
1A10,1A13,0.02177329
1A11,1A13,0.01975309
1A12,1A13,0.0179814
1A1,1A14,0.05458221
1A10,1A14,0.02244669
1A11,1A14,0.02065095
1A12,1A14,0.0188953
1A13,1A14,0.0040404
1A1,1A15,0.05705301
1A10,1A15,0.02940516
1A11,1A15,0.02648709
1A12,1A15,0.02594998
1A13,1A15,0.02723532
1A14,1A15,0.02828283
1A1,1A16,0.05929919
1A10,1A16,0.02962963
1A11,1A16,0.02648709
1A12,1A16,0.02782588
1A13,1A16,0.0285073
1A14,1A16,0.0298541
1A15,1A16,0.01346801
1A1,1A17,0.05256065
1A10,1A17,0.02424242
1A11,1A17,0.02132435
1A12,1A17,0.02253487
1A13,1A17,0.02356902
1A14,1A17,0.02446689
1A15,1A17,0.00830527
1A16,1A17,0.00942761
1A1,1A18,0.05121294
1A10,1A18,0.02020202
1A11,1A18,0.01773288
1A12,1A18,0.01604137
1A13,1A18,0.01818182
1A14,1A18,0.01907969
1A15,1A18,0.01414141
1A16,1A18,0.01750842
1A17,1A18,0.00942761
1A1,1A19,0.05458221
1A10,1A19,0.02558923
1A11,1A19,0.02312009
1A12,1A19,0.02260702
1A13,1A19,0.02491582
1A14,1A19,0.02581369
1A15,1A19,0.01638608
1A16,1A19,0.02020202
1A17,1A19,0.01346801
1A18,1A19,0.01346801
1A1,1A2,0.03874663
1A10,1A2,0.01313131
1A11,1A2,0.01181257
1A12,1A2,0.01544913
1A13,1A2,0.0256734
1A14,1A2,0.02657127
1A15,1A2,0.03285634
1A16,1A2,0.03308081
1A17,1A2,0.02718855
1A18,1A2,0.0233165
1A19,1A2,0.02920875
1A1,1A20,0.04716981
1A10,1A20,0.01481481
1A11,1A20,0.01212121
1A12,1A20,0.01060606
1A13,1A20,0.01189675
1A14,1A20,0.01234568
1A15,1A20,0.02042649
1A16,1A20,0.01952862
1A17,1A20,0.01750842
1A18,1A20,0.01077441
1A19,1A20,0.01750842
1A2,1A20,0.01843434
1A1,1A3,0.04002695
1A10,1A3,0.01010101
1A11,1A3,0.00897868
1A12,1A3,0.01260221
1A13,1A3,0.02276094
1A14,1A3,0.02365881
1A15,1A3,0.03007856
1A16,1A3,0.03030303
1A17,1A3,0.02491582
1A18,1A3,0.0203367
1A19,1A3,0.02626263
1A2,1A3,0.00993266
1A20,1A3,0.01548822
1A1,1A4,0.043969
1A10,1A4,0.01212121
1A11,1A4,0.00892256
1A12,1A4,0.01293591
1A13,1A4,0.02306397
1A14,1A4,0.02390572
1A15,1A4,0.03016274
1A16,1A4,0.03021886
1A17,1A4,0.02483165
1A18,1A4,0.02104377
1A19,1A4,0.02542088
1A2,1A4,0.01526199
1A20,1A4,0.01565657
1A3,1A4,0.01245791
1A1,1A5,0.05053908
1A10,1A5,0.01885522
1A11,1A5,0.01548822
1A12,1A5,0.01998557
1A13,1A5,0.02895623
1A14,1A5,0.0298541
