Species1,Species2,Distance
4A,4B,0.02978606
4A,4C,0.02661799
4B,4C,0.03770227
4A,4D,0.05040838
4B,4D,0.0562886
4C,4D,0.05135773
4A,4E,0.0516871
4B,4E,0.05616373
4C,4E,0.0543491
4D,4E,0.03077358
4A,4F,0.05140464
4B,4F,0.05834749
4C,4F,0.05412512
4D,4F,0.05191766
4E,4F,0.05143889
4A,4G,0.0599177
4B,4G,0.06615131
4C,4G,0.0660017
4D,4G,0.0598418
4E,4G,0.06171102
4F,4G,0.04586251
4A,4H,0.05435516
4B,4H,0.0587763
4C,4H,0.05616031
4D,4H,0.05996662
4E,4H,0.05834779
4F,4H,0.03197239
4G,4H,0.05152386
