Species1,Species2,Distance
5B6,5J2,0.07609428
5B7,5J2,0.07337006
5C1,5J2,0.07114831
5D1,5J2,0.06363636
5D2,5J2,0.07070707
5F1,5J2,0.07441077
5G1,5J2,0.06969697
5H1,5J2,0.06767677
5H2,5J2,0.05869809
5I1,5J2,0.07216611
5J1,5J2,0.01750842
5E1,5K1,0.03232323
5A1,5K1,0.03299663
5A2,5K1,0.04727273
5A3,5K1,0.04983165
5B1,5K1,0.03838384
5B2,5K1,0.04107744
5B3,5K1,0.04152637
5B4,5K1,0.03405483
5B5,5K1,0.04803591
5B6,5K1,0.05016835
5B7,5K1,0.04946434
5C1,5K1,0.04332946
5D1,5K1,0.03164983
5D2,5K1,0.04175084
5F1,5K1,0.04579125
5G1,5K1,0.04242424
5H1,5K1,0.03636364
5H2,5K1,0.02738496
5I1,5K1,0.04616536
5J1,5K1,0.06531987
5J2,5K1,0.05757576
5E1,5K10,0.04175084
5A1,5K10,0.04579125
5A2,5K10,0.05925926
5A3,5K10,0.05858586
5B1,5K10,0.04983165
5B2,5K10,0.05252525
5B3,5K10,0.05387205
5B4,5K10,0.04704185
5B5,5K10,0.05708941
5B6,5K10,0.05824916
5B7,5K10,0.05754515
5C1,5K10,0.05361536
5D1,5K10,0.04534231
5D2,5K10,0.05252525
5F1,5K10,0.04983165
5G1,5K10,0.04983165
5H1,5K10,0.04713805
5H2,5K10,0.03815937
5I1,5K10,0.05289936
5J1,5K10,0.06195286
5J2,5K10,0.05723906
5K1,5K10,0.03030303
5E1,5K11,0.04646465
5A1,5K11,0.04175084
5A2,5K11,0.04767677
5A3,5K11,0.05454545
5B1,5K11,0.04646465
5B2,5K11,0.04781145
5B3,5K11,0.04915825
5B4,5K11,0.04329004
5B5,5K11,0.05641601
5B6,5K11,0.05555556
5B7,5K11,0.05552495
5C1,5K11,0.04997429
5D1,5K11,0.04332211
5D2,5K11,0.05185185
5F1,5K11,0.05589226
5G1,5K11,0.05319865
5H1,5K11,0.05319865
5H2,5K11,0.04287318
5I1,5K11,0.05506921
5J1,5K11,0.07205387
5J2,5K11,0.06666667
5K1,5K11,0.03905724
5K10,5K11,0.02693603
5E1,5K12,0.03604466
5A1,5K12,0.03565479
5A2,5K12,0.04930002
5A3,5K12,0.04859117
5B1,5K12,0.03891547
5B2,5K12,0.04396598
5B3,5K12,0.04593301
5B4,5K12,0.03715855
5B5,5K12,0.05089491
5B6,5K12,0.05144427
5B7,5K12,0.05049216
5C1,5K12,0.04371464
5D1,5K12,0.03475693
5D2,5K12,0.04469254
5F1,5K12,0.04809498
5G1,5K12,0.04589757
5H1,5K12,0.04001418
5H2,5K12,0.03220509
5I1,5K12,0.04946148
5J1,5K12,0.06315789
5J2,5K12,0.0526493
5K1,5K12,0.01942229
5K10,5K12,0.02636895
5K11,5K12,0.03494595
5E1,5K13,0.03703704
5A1,5K13,0.03703704
5A2,5K13,0.04938272
5A3,5K13,0.04893378
5B1,5K13,0.03928171
5B2,5K13,0.04343434
5B3,5K13,0.04624018
5B4,5K13,0.0374539
5B5,5K13,0.05147774
5B6,5K13,0.05218855
5B7,5K13,0.05148454
5C1,5K13,0.04419548
5D1,5K13,0.03501684
5D2,5K13,0.04444444
5F1,5K13,0.04915825
