"","Clade","Shannon.Wiener","Simpson"
"173","5M5",0,0
"174","5M6",0,0
"175","5M7",1.05339549836058,0.602076124567474
"176","5N1",0,0
"177","5N10",1.08889997534522,0.66
"178","5N11",0,0
"179","5N12",0.882310924515076,0.551111111111111
"180","5N13",0.376770161256437,0.21875
"181","5N14",0,0
"182","5N15",0,0
"183","5N16",0,0
"184","5N2",0.673011667009257,0.48
"185","5N3",0,0
"186","5N4",0,0
"187","5N5",0,0
"188","5N6",0,0
"189","5N7",0,0
"190","5N8",0,0
"191","5N9",0.900256051268537,0.53125
"192","5O1",1.18474625532818,0.608288213244481
"193","5O2",1.3265241704294,0.696280991735537
"194","5O3",0.259912992367261,0.117121904559464
"195","5O4",0.151328606566043,0.0673336938885882
"196","5P1",0.856997754778065,0.542936288088643
"197","5P10",0,0
"198","5P2",0.636514168294813,0.444444444444444
"199","5P3",0,0
"200","5P4",0,0
"201","5P5",0,0
"202","5P6",0,0
"203","5P7",0,0
"204","5P8",0,0
"205","5P9",1.34742923290441,0.696428571428571
"206","5Q1",1.57004868595911,0.713025951121189
"207","5Q2",0.282600106577289,0.123818525519849
"208","5R1",0.986035215109854,0.567995728017088
