FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
China	Djibouti	1.1362469581936596	0.2656371514276192
China	Eritrea	0.25343758872754757	0.07465837129207865
China	Laos	0.5155424056128447	0.14098433507388067
China	Myanmar	0.34553510052184727	0.09910009998889012
China	Saudi_Arabia	1.1780673302481	0.2727474725030552
China	Somalia	0.2562929617049677	0.07543606265970448
China	Thailand	28270.736738991654	1.0
China	USA.Hawaii	1.2994977674906543	0.29263415176091545
Djibouti	Eritrea	0.5231250606187804	0.1427619153427397
Djibouti	Laos	0.3220453842144391	0.09298966781468726
Djibouti	Myanmar	0.23116842355758166	0.0685479391178758
Djibouti	Saudi_Arabia	29.17181037982045	0.9027885790467726
Djibouti	Somalia	0.5712384801515851	0.15387179202310855
Djibouti	Thailand	1.049392167872112	0.2504166203755138
Djibouti	USA.Hawaii	0.36847410099238326	0.10498833462948562
Eritrea	Laos	0.2493668001920791	0.07354738362404177
Eritrea	Myanmar	0.19259761171085976	0.057771358737918006
Eritrea	Saudi_Arabia	3.736422677739756	0.5432729696700367
Eritrea	Somalia	5.339274315133426	0.6295967114765026
Eritrea	Thailand	0.2048280860379633	0.06121542050883235
Eritrea	USA.Hawaii	0.25425291971343134	0.07488056882568603
Laos	Myanmar	0.3842282175250156	0.10898789023441839
Laos	Saudi_Arabia	0.33311004349627316	0.09587823575158316
Laos	Somalia	0.22915843345473436	0.06799244528385735
Laos	Thailand	16.911202725431277	0.8433507388067992
Laos	USA.Hawaii	0.7082117848843251	0.1839795578269081
Myanmar	Saudi_Arabia	0.2119709203627589	0.06321519831129875
Myanmar	Somalia	0.18201788137080535	0.054771692034218424
Myanmar	Thailand	30.279466523051877	0.9060104432840795
Myanmar	USA.Hawaii	0.4901810248862749	0.1349850016664815
Saudi_Arabia	Somalia	8.484579204973889	0.7298077991334296
Saudi_Arabia	Thailand	1.4323880597295253	0.31318742361959784
Saudi_Arabia	USA.Hawaii	0.36978156420062563	0.10532163092989667
Somalia	Thailand	0.20918953071475122	0.06243750694367293
Somalia	USA.Hawaii	0.2554766508129195	0.0752138651260971
Thailand	USA.Hawaii	3.0810512921974693	0.49516720364403954
