FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Australia	Fiji	1.4833619003733962	0.47572491945339407
Australia	Marshall_Islands	0.7083034098519598	0.30229974447283636
Australia	Micronesia	0.521202715581122	0.24175091656482614
Australia	Papua_New_Guinea	11.989655159209818	0.8800133318520165
Australia	Solomon_Islands	4.0662816629548635	0.7132540828796801
Fiji	Marshall_Islands	0.8172370782507045	0.33329630041106545
Fiji	Micronesia	0.5464502687194134	0.25052771914231753
Fiji	Papua_New_Guinea	0.3049257045792339	0.1572047550272192
Fiji	Solomon_Islands	4.101843632432076	0.715031663148539
Marshall_Islands	Micronesia	7.602135958644693	0.8230196644817243
Marshall_Islands	Papua_New_Guinea	0.2271228309008208	0.12198644595044995
Marshall_Islands	Solomon_Islands	1.4180239428230526	0.4645039440062215
Micronesia	Papua_New_Guinea	0.18633683043574512	0.10232196422619709
Micronesia	Solomon_Islands	0.8745225079325394	0.34851683146317075
Papua_New_Guinea	Solomon_Islands	2.2661956014245117	0.5809354516164871
