"","country","NUM","Center","region","Percent"
"162","Fiji",1,"Niue","Oceania",33.3333333333333
"163","French_Polynesia",1,"Niue","Oceania",33.3333333333333
"164","Wallis_and_Futuna",1,"Niue","Oceania",33.3333333333333
"165","Australia",1,"Papua_New_Guinea","SEA",20
"166","Fiji",1,"Papua_New_Guinea","Oceania",20
"167","French_Polynesia",1,"Papua_New_Guinea","Oceania",20
"168","Indonesia",1,"Papua_New_Guinea","SEA",20
"169","Viet_Nam",1,"Papua_New_Guinea","GMS-EastAsia",20
"170","Venezuela",1,"Paraguay","America",100
"171","China",1,"Peru","GMS-EastAsia",50
"172","USA",1,"Peru","America",50
"173","China",1,"Philippines","GMS-EastAsia",20
"174","Japan",1,"Philippines","GMS-EastAsia",20
"175","Nauru_Island",1,"Philippines","Philippines",20
"176","South_Korea",1,"Philippines","GMS-EastAsia",20
"177","Thailand",1,"Philippines","GMS-EastAsia",20
"178","Argentina",1,"Puerto_Rico","America",25
"179","China",1,"Puerto_Rico","GMS-EastAsia",25
"180","Dominica",1,"Puerto_Rico","America",25
"181","USA",1,"Puerto_Rico","America",25
"182","Australia",1,"Reunion","SEA",100
"183","Belize",1,"Saint_Barthelemy","America",20
"184","Brazil",1,"Saint_Barthelemy","America",20
"185","El_Salvador",1,"Saint_Barthelemy","America",20
"186","Honduras",1,"Saint_Barthelemy","America",20
"187","Nicaragua",1,"Saint_Barthelemy","America",20
"188","Japan",1,"Samoa","GMS-EastAsia",100
"189","Djibouti",1,"Saudi_Arabia","RedSeaRegion",33.3333333333333
"190","Indonesia",1,"Saudi_Arabia","SEA",33.3333333333333
"191","Somalia",1,"Saudi_Arabia","RedSeaRegion",33.3333333333333
"192","Japan",1,"Seychelles","GMS-EastAsia",50
"193","Madagascar",1,"Seychelles","SWIR",50
"194","Cambodia",1,"Singapore","GMS-EastAsia",14.2857142857143
"195","China",1,"Singapore","GMS-EastAsia",14.2857142857143
"196","India",1,"Singapore","SouthAsia",14.2857142857143
"197","Indonesia",2,"Singapore","SEA",28.5714285714286
"198","Thailand",1,"Singapore","GMS-EastAsia",14.2857142857143
"199","Viet_Nam",1,"Singapore","GMS-EastAsia",14.2857142857143
"200","Japan",1,"Solomon_Islands","GMS-EastAsia",100
"201","Saudi_Arabia",1,"Somalia","RedSeaRegion",100
"202","Australia",1,"South_Korea","SEA",7.14285714285714
"203","Comoros",1,"South_Korea","SouthAsia",7.14285714285714
"204","Indonesia",3,"South_Korea","SEA",21.4285714285714
"205","Japan",1,"South_Korea","GMS-EastAsia",7.14285714285714
"206","Malaysia",2,"South_Korea","SEA",14.2857142857143
"207","Maldives",1,"South_Korea","SouthAsia",7.14285714285714
"208","Myanmar",1,"South_Korea","GMS-EastAsia",7.14285714285714
"209","Philippines",1,"South_Korea","Philippines",7.14285714285714
"210","Sri_Lanka",1,"South_Korea","SouthAsia",7.14285714285714
"211","Thailand",1,"South_Korea","GMS-EastAsia",7.14285714285714
"212","Viet_Nam",1,"South_Korea","GMS-EastAsia",7.14285714285714
"213","South_Korea",1,"Sri_Lanka","GMS-EastAsia",50
"214","Viet_Nam",1,"Sri_Lanka","GMS-EastAsia",50
"215","Grenada",1,"Suriname","America",100
"216","Cambodia",1,"Thailand","GMS-EastAsia",6.66666666666667
"217","China",3,"Thailand","GMS-EastAsia",20
"218","India",1,"Thailand","SouthAsia",6.66666666666667
"219","Indonesia",1,"Thailand","SEA",6.66666666666667
"220","Laos",1,"Thailand","GMS-EastAsia",6.66666666666667
