"","Label","Route","FROM","TO","BF","POSTERIOR","Subgenotype","BFlevel","FROM_lat","FROM_long","TO_lat","TO_long","Rate.mean","Rate.median"
"35","Laos.Vietnam%%%1H","Laos.Vietnam","Laos","Vietnam",50810.939676644,1,"1H","L5",17.9666666666666,102.6,21.0333333333333,105.85,"0.9462",155
"36","Malaysia.Vietnam%%%1H","Malaysia.Vietnam","Malaysia","Vietnam",21.1846385241096,0.789578935673814,"1H","L2",3.13333333333333,101.683333333333,21.0333333333333,105.85,"0.978",115
"37","Maldives.Thailand%%%1H","Maldives.Thailand","Maldives","Thailand",6.48240336208902,0.534496167092545,"1H","L1",3.2,73.22,13.75,100.483333333333,"0.9919",194
"38","Myanmar.Sri_Lanka%%%1H","Myanmar.Sri_Lanka","Myanmar","Sri_Lanka",7.49203014363608,0.570269970003333,"1H","L1",19.75,96.1,6.93333333333333,79.8666666666666,"0.9913",186
"39","Papua_New_Guinea.Vietnam%%%1H","Papua_New_Guinea.Vietnam","Papua_New_Guinea","Vietnam",10.1949214999602,0.643595156093767,"1H","L2",-9.5,147.116666666666,21.0333333333333,105.85,"0.9832",166
"40","Singapore.Thailand%%%1H","Singapore.Thailand","Singapore","Thailand",228.532152647066,0.9758915676036,"1H","L4",1.28333333333333,103.833333333333,13.75,100.483333333333,"0.9231",167
"41","Sri_Lanka.Thailand%%%1H","Sri_Lanka.Thailand","Sri_Lanka","Thailand",50810.939676644,0.999888901233196,"1H","L5",6.93333333333333,79.8666666666666,13.75,100.483333333333,"0.8147",144
"42","Australia.Indonesia%%%1J","Australia.Indonesia","Australia","Indonesia",41798.9842963279,1,"1J","L5",-18.188,143.262,-6.175,106.828333333333,"1.1957",269
"43","Cambodia.Laos%%%1J","Cambodia.Laos","Cambodia","Laos",78.2993760066049,0.944006221530941,"1J","L3",11.55,104.916666666666,17.9666666666666,102.6,"0.6172",225
"44","China.Malaysia%%%1J","China.Malaysia","China","Malaysia",15.472910292136,0.769136762581935,"1J","L2",23.13,113.939,3.13333333333333,101.683333333333,"1.3062",270
"45","China.Thailand%%%1J","China.Thailand","China","Thailand",15.463233889115,0.769025663815132,"1J","L2",23.13,113.939,13.75,100.483333333333,"1.2608",271
"46","China.Vietnam%%%1J","China.Vietnam","China","Vietnam",41798.9842963279,1,"1J","L5",23.13,113.939,21.0333333333333,105.85,"0.9638",238
"47","Indonesia.Thailand%%%1J","Indonesia.Thailand","Indonesia","Thailand",41798.9842963279,1,"1J","L5",-6.175,106.828333333333,13.75,100.483333333333,"0.9287",233
"48","Japan.Malaysia%%%1J","Japan.Malaysia","Japan","Malaysia",100.920387168901,0.956004888345739,"1J","L4",35.6833333333333,139.766666666666,3.13333333333333,101.683333333333,"0.6834",227
"49","Japan.Vietnam%%%1J","Japan.Vietnam","Japan","Vietnam",8.61824094575804,0.649816687034774,"1J","L1",35.6833333333333,139.766666666666,21.0333333333333,105.85,"0.9768",118
"50","Laos.Vietnam%%%1J","Laos.Vietnam","Laos","Vietnam",41798.9842963279,1,"1J","L5",17.9666666666666,102.6,21.0333333333333,105.85,"0.8221",228
"51","Malaysia.Thailand%%%1J","Malaysia.Thailand","Malaysia","Thailand",41798.9842963279,1,"1J","L5",3.13333333333333,101.683333333333,13.75,100.483333333333,"0.9623",237
"52","Micronesia.Vietnam%%%1J","Micronesia.Vietnam","Micronesia","Vietnam",6.00898865308907,0.564048439062326,"1J","L1",6,158.09,21.0333333333333,105.85,"0.968",254
"53","Singapore.Vietnam%%%1J","Singapore.Vietnam","Singapore","Vietnam",13929.8985443883,0.999666703699589,"1J","L5",1.28333333333333,103.833333333333,21.0333333333333,105.85,"0.6935",230
"54","Thailand.Vietnam%%%1J","Thailand.Vietnam","Thailand","Vietnam",5220.80924690171,0.99911120986557,"1J","L4",13.75,100.483333333333,21.0333333333333,105.85,"0.9184",231
"55","Australia.China%%%1K","Australia.China","Australia","China",12.3679442094532,0.916231529830019,"1K","L2",-18.188,143.262,23.13,113.939,"1.0221",281
"56","Cambodia.Thailand%%%1K","Cambodia.Thailand","Cambodia","Thailand",183.924283626923,0.993889567825797,"1K","L4",11.55,104.916666666666,13.75,100.483333333333,"1.2021",283
