FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Angola	Belize	0.12897565402554528	0.03944006221530941
Angola	Costa_Rica	0.22234235281284476	0.06610376624819464
Angola	El_Salvador	0.134279449293195	0.040995444950561045
Angola	Honduras	0.14914543607213365	0.0453282968559049
Angola	Mexico	0.07393983909448726	0.022997444728363514
Angola	Nicaragua	0.09639753993219945	0.029774469503388513
Angola	Saint_Barthelemy	0.1587460966903402	0.04810576602599711
Angola	USA	71.0684603937446	0.9576713698477947
Belize	Costa_Rica	0.13579798078150876	0.0414398400177758
Belize	El_Salvador	0.20284936276354723	0.06065992667481391
Belize	Honduras	0.12368900728762933	0.03788467948005777
Belize	Mexico	0.06628041890027556	0.020664370625486057
Belize	Nicaragua	654.3908519584714	0.9952227530274413
Belize	Saint_Barthelemy	0.1583609946868754	0.04799466725919342
Belize	USA	0.12935392685666447	0.0395511609821131
Costa_Rica	El_Salvador	0.22234235281284476	0.06610376624819464
Costa_Rica	Honduras	178.1016142852026	0.9826685923786246
Costa_Rica	Mexico	0.10382917200136466	0.03199644483946228
Costa_Rica	Nicaragua	28270.736738991654	1.0
Costa_Rica	Saint_Barthelemy	14.67473515248341	0.8236862570825464
Costa_Rica	USA	212.68993628066158	0.9854460615487168
El_Salvador	Honduras	0.1407429468143764	0.04288412398622375
El_Salvador	Mexico	0.0849455424608523	0.026330407732474168
El_Salvador	Nicaragua	50.71381261370048	0.9416731474280635
El_Salvador	Saint_Barthelemy	0.14455693393560126	0.043995111654260635
El_Salvador	USA	0.14761451207210025	0.044883901788690145
Honduras	Mexico	0.15259523169930578	0.046328185757138096
Honduras	Nicaragua	0.5494320038036142	0.14887234751694256
Honduras	Saint_Barthelemy	0.2620181426218988	0.07699144539495612
Honduras	USA	0.45096532298685926	0.12554160648816798
Mexico	Nicaragua	28270.736738991654	1.0
Mexico	Saint_Barthelemy	0.06446212332776996	0.020108876791467615
Mexico	USA	5651.634393422662	0.9994445061659816
Nicaragua	Saint_Barthelemy	0.4683918537121862	0.12976335962670815
Nicaragua	USA	0.14723200364187558	0.04477280302188646
Saint_Barthelemy	USA	0.2404453416385308	0.07110321075436063
